region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,Slovakya,Çekoslovakya'nın Kuruluşu,Devrim/Rejim Değişikliği,1918,1918,1918,1910,Avusturya-Macaristan'ın dağılmasıyla Çekler ve Slovaklar ortak devlet kurdu.
Avrupa,Slovakya,Slovak Ulusal Ayaklanması,Savaş/Çatışma,1944,1944,1944,1940,Nazi işgaline karşı başlatılan büyük direniş hareketi.
Avrupa,Slovakya,Prag Baharı ve Sovyet İşgali,Savaş/Çatışma,1968,1968,1968,1960,"Varşova Paktı ordularının işgali, reform sürecini sona erdirdi."
Avrupa,Slovakya,Kadife Devrim,Devrim/Rejim Değişikliği,1989,1989,1989,1980,Komünist rejimin barışçıl protestolarla yıkılması.
Avrupa,Slovakya,Kadife Boşanma (Bağımsızlık),Devrim/Rejim Değişikliği,1993,1993,1993,1990,Çekoslovakya'nın barışçıl bir şekilde ikiye ayrılmasıyla bağımsız Slovakya kuruldu.
Avrupa,Slovakya,Meciar Dönemi Otoriterliği,Önemli Lider,1994,1994,1998,1990,Başbakan Vladimir Meciar yönetimi altında demokratik gerileme ve Batı'dan izolasyon.
Avrupa,Slovakya,NATO'ya Katılım,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Ülkenin Batı güvenlik ittifakına tam entegrasyonu.
Avrupa,Slovakya,AB Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Avrupa Birliği'ne katılım referandumu ve üyelik.
Avrupa,Slovakya,Euro'ya Geçiş,Devrim/Rejim Değişikliği,2009,2009,2009,2000,Slovak Korunası yerine Euro'nun kullanıma girmesi.
Avrupa,Slovakya,Jan Kuciak Suikastı,Terör Saldırısı,2018,2018,2018,2010,Yolsuzlukları araştıran gazetecinin öldürülmesi büyük protestolara ve hükümet istifasına yol açtı.
Avrupa,Slovakya,Zuzana Caputova'nın Seçilmesi,Devrim/Rejim Değişikliği,2019,2019,2019,2010,İlk kadın cumhurbaşkanının çevre ve hukukun üstünlüğü yanlısı zaferi.
Avrupa,Slovakya,Robert Fico Suikast Girişimi,Terör Saldırısı,2024,2024,2024,2020,"Başbakan'a düzenlenen silahlı saldırı, ülkedeki kutuplaşmayı derinleştirdi."
Avrupa,Slovakya,Uçan Arabanın Sertifikası,Kültür & Toplum,2022,2022,2022,2020,Slovak şirketi Klein Vision'ın uçan arabası AirCar'ın uçuş izni alması.
Avrupa,Slovakya,Ukrayna Mülteci Krizi,Savaş/Çatışma,2022,2022,2023,2020,Komşu Ukrayna'dan gelen yüz binlerce mülteciye kapıların açılması.
Avrupa,Slovakya,Jaguar Land Rover Fabrikası,Kültür & Toplum,2018,2018,2018,2010,"Nitra'da açılan dev fabrika ile ülkenin 'dünyanın otomobil atölyesi' konumu pekişti."
Avrupa,Slovakya,Papa'nın Ziyareti,Kültür & Toplum,2021,2021,2021,2020,Papa Franciscus'un ülkeyi ziyareti.
Avrupa,Slovakya,Savunma İşbirliği Anlaşması (ABD),Devrim/Rejim Değişikliği,2022,2022,2022,2020,ABD ordusunun Slovak üslerini kullanmasına izin veren tartışmalı anlaşma.
Avrupa,Slovakya,COVID-19 Kitle Testi,Kültür & Toplum,2020,2020,2020,2020,Tüm nüfusun hafta sonu test edilmesi denemesi.
Avrupa,Çek Cumhuriyeti,Nazi İşgali (Bohemya ve Moravya),Savaş/Çatışma,1939,1939,1945,1930,Hitler'in Prag Kalesi'nden ilanıyla ülke Alman protektorası oldu.
Avrupa,Çek Cumhuriyeti,Heydrich Suikastı (Operasyon Antropoid),Terör Saldırısı,1942,1942,1942,1940,Nazi lideri Heydrich'in direnişçilerce öldürülmesi ve Lidice katliamı misillemesi.
Avrupa,Çek Cumhuriyeti,Komünist Darbe,Devrim/Rejim Değişikliği,1948,1948,1948,1940,KSÇ'nin iktidarı tamamen ele geçirmesi ve Demir Perde'nin inmesi.
Avrupa,Çek Cumhuriyeti,Prag Baharı,Devrim/Rejim Değişikliği,1968,1968,1968,1960,Alexander Dubcek'in 'insancıl komünizm' reform girişimi.
Avrupa,Çek Cumhuriyeti,Charta 77,Devrim/Rejim Değişikliği,1977,1977,1977,1970,Vaclav Havel öncülüğünde insan hakları bildirisi.
Avrupa,Çek Cumhuriyeti,Kadife Devrim,Devrim/Rejim Değişikliği,1989,1989,1989,1980,"Öğrenci protestolarının büyümesi, rejimin şiddetsiz çöküşü."
Avrupa,Çek Cumhuriyeti,Vaclav Havel Cumhurbaşkanlığı,Önemli Lider,1989,1989,2003,1980,Disident oyun yazarının devlet başkanı olması.
Avrupa,Çek Cumhuriyeti,Çek Cumhuriyeti'nin Kuruluşu,Devrim/Rejim Değişikliği,1993,1993,1993,1990,Slovakya ile ayrılık sonrası bağımsız Çek devleti.
Avrupa,Çek Cumhuriyeti,NATO Üyeliği,Devrim/Rejim Değişikliği,1999,1999,1999,1990,Eski Varşova Paktı ülkesinin NATO'ya ilk genişleme dalgasında katılımı.
Avrupa,Çek Cumhuriyeti,AB Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Avrupa Birliği'ne tam entegrasyon.
Avrupa,Çek Cumhuriyeti,ABD Radar Üssü Tartışması,Savaş/Çatışma,2007,2007,2009,2000,ABD füze kalkanı radarının kurulması planı ve Rusya gerilimi.
Avrupa,Çek Cumhuriyeti,Vaclav Klaus ve Lizbon Antlaşması,Devrim/Rejim Değişikliği,2009,2009,2009,2000,Euroskeptik cumhurbaşkanının AB reform antlaşmasını imzalamayı geciktirmesi.
Avrupa,Çek Cumhuriyeti,Ülke Adı Değişikliği (Czechia),Kültür & Toplum,2016,2016,2016,2010,Kısa ismin resmen 'Czechia' olarak tescil edilmesi.
Avrupa,Çek Cumhuriyeti,Vrbetice Mühimmat Deposu Patlaması,Terör Saldırısı,2014,2014,2014,2010,Rus istihbaratının (GRU) karıştığı ortaya çıkan sabotaj.
Avrupa,Çek Cumhuriyeti,Prag Üniversitesi Saldırısı,Terör Saldırısı,2023,2023,2023,2020,Charles Üniversitesi'nde ülke tarihinin en kanlı silahlı saldırısı.
Avrupa,Çek Cumhuriyeti,Petr Pavel Seçimi,Devrim/Rejim Değişikliği,2023,2023,2023,2020,Eski NATO generalinin cumhurbaşkanı seçilmesi.
Avrupa,Çek Cumhuriyeti,Mühimmat İnisiyatifi (Ukrayna),Savaş/Çatışma,2024,2024,2024,2020,Çekya'nın öncülüğünde Ukrayna için küresel top mermisi tedarik kampanyası.
Avrupa,Macaristan,Trianon Antlaşması,Devrim/Rejim Değişikliği,1920,1920,1920,1920,Macaristan topraklarının üçte ikisinin kaybı; ulusal travma.
Avrupa,Macaristan,1956 Macar Devrimi,Savaş/Çatışma,1956,1956,1956,1950,Sovyet işgaline karşı halk ayaklanması ve kanlı bastırılması.
Avrupa,Macaristan,Gulaş Komünizmi,Devrim/Rejim Değişikliği,1960,1960,1989,1960,Kadar yönetiminde görece liberal ekonomik reformlar dönemi.
Avrupa,Macaristan,Sınırların Açılması (Demir Perde'nin Yıkılışı),Devrim/Rejim Değişikliği,1989,1989,1989,1980,Avusturya sınırının açılması Doğu Almanların kaçışını ve Berlin Duvarı'nın yıkılışını tetikledi.
Avrupa,Macaristan,NATO Üyeliği,Devrim/Rejim Değişikliği,1999,1999,1999,1990,Batı ittifakına katılım.
Avrupa,Macaristan,AB Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Avrupa Birliği'ne katılım.
Avrupa,Macaristan,Viktor Orban'ın İkinci Dönemi,Önemli Lider,2010,2010,2024,2010,Fidesz partisinin anayasal çoğunlukla iktidara gelmesi ve 'illiberal demokrasi' inşası.
Avrupa,Macaristan,Mülteci Krizi ve Tel Duvar,Savaş/Çatışma,2015,2015,2015,2010,Sırbistan sınırına tel örgü çekilmesi ve göçmen karşıtı politikalar.
Avrupa,Macaristan,Kızıl Çamur Felaketi,Kültür & Toplum,2010,2010,2010,2010,Alüminyum fabrikası atık havuzunun çökmesiyle yaşanan çevre felaketi.
Avrupa,Macaristan,Soros ve CEU Krizi,Devrim/Rejim Değişikliği,2017,2017,2018,2010,Orta Avrupa Üniversitesi'nin ülkeden ayrılmaya zorlanması.
Avrupa,Macaristan,LGBT Yasası Tartışması,Kültür & Toplum,2021,2021,2021,2020,Okullarda LGBT içeriğini kısıtlayan yasa ve AB ile çatışma.
Avrupa,Macaristan,Orban'ın 4. Seçim Zaferi,Devrim/Rejim Değişikliği,2022,2022,2022,2020,Ukrayna savaşı gölgesinde iktidarın konsolidasyonu.
Avrupa,Macaristan,Papa Ziyareti,Kültür & Toplum,2023,2023,2023,2020,Papa'nın Budapeşte ziyareti ve barış mesajları.
Avrupa,Macaristan,İsveç NATO Üyeliği Onayı,Devrim/Rejim Değişikliği,2024,2024,2024,2020,Uzun süren gecikmenin ardından İsveç'in katılımının onaylanması.
Avrupa,Macaristan,AB Dönem Başkanlığı (Barış Misyonu),Devrim/Rejim Değişikliği,2024,2024,2024,2020,Orban ve Putin görüşmeleri.
