country,year,category,event,summary
Hindistan,1930,Protest,Tuz Yürüyüşü (Salt March),Mahatma Gandhi liderliğinde İngiliz tuz vergisine karşı başlatılan 240 millik sivil itaatsizlik yürüyüşü. 60.000 kişi tutuklandı.
Küba,1962,War,Küba Füze Krizi,Sovyet füzelerinin Küba'ya yerleştirilmesiyle ABD ve SSCB'yi nükleer savaşın eşiğine getiren kriz.
Jamaika,1962,Independence,Jamaika'nın Bağımsızlığı,İngiliz İmparatorluğu'ndan ayrılarak bağımsızlığını ilan etti.
Trinidad ve Tobago,1962,Independence,Trinidad ve Tobago'nun Bağımsızlığı,İngiliz sömürgesinden bağımsız bir ulus haline geldi.
Uganda,1962,Independence,Uganda'nın Bağımsızlığı,Doğu Afrika'da İngiliz hakimiyetinin sona ermesi.
İsrail,1967,War,Altı Gün Savaşı,İsrail'in Mısır, Ürdün ve Suriye'ye karşı kazandığı, Batı Şeria, Gazze ve Golan Tepeleri'ni işgal ettiği savaş.
ABD,1967,Culture,Aşk Yazı (Summer of Love),San Francisco merkezli hippi hareketinin ve karşı kültürün zirveye ulaştığı, toplumsal değişim yılı.
Birleşik Krallık,1967,Law,Eşcinselliğin Yasallaşması,Cinsel Suçlar Yasası ile İngiltere'de eşcinsellik kısmen suç olmaktan çıkarıldı, sivil haklar için dönüm noktası oldu.
Birleşik Krallık,1967,Law,Kürtaj Yasası,Kürtajın belirli koşullar altında yasallaşmasıyla kadın hakları ve sağlık reformunda büyük adım atıldı.
Birleşik Krallık,1926,Protest,Genel Grev (General Strike),Madencilerin ücret kesintilerine karşı 1.7 milyon işçinin katıldığı, İngiltere tarihinin en büyük genel grevi.
Fransa,1926,Culture,Coco Chanel - Garçonne Akımı,Vogue dergisinde yayınlanan ikonik tasarımlarıyla kadın modasında devrim yarattı.
ABD,1926,Crime,Al Capone ve Yasak Dönemi,İçki yasağı döneminde Chicago yeraltı dünyasının en güçlü lideri haline geldi.
ABD,1926,Culture,Rudolph Valentino'nun Ölümü,Sessiz sinema döneminin en büyük yıldızlarından birinin ölümü kitleleri yasa boğdu.
ABD,1926,Sports,Babe Ruth,Beyzbolun efsane isminin kariyerinin zirveye ulaştığı dönem.
