region,country,event,category,year,year_start,year_end,decade,summary
Orta Afrika,Kamerun,Bağımsızlık 1960,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Fransa'dan bağımsızlık kazanıldı. [Wikipedia](https://tr.wikipedia.org/wiki/Kamerun)
Orta Afrika,Kamerun,Güney Kamerun Birleşmesi,Diplomasi,1961,1961,1961,1960,İngiliz Kamerunu ile federasyon. [Wikipedia](https://tr.wikipedia.org/wiki/Kamerun_Tarihi)
Orta Afrika,Kamerun,Ahidjo İstifası,Önemli Lider,1982,1982,1982,1980,İlk başkan Ahidjo'nun istifası. [Wikipedia](https://tr.wikipedia.org/wiki/Ahmadou_Ahidjo)
Orta Afrika,Kamerun,Biya Darbe Girişimi,Savaş/Çatışma,1984,1984,1984,1980,Paul Biya'ya karşı başarısız darbe. [Wikipedia](https://tr.wikipedia.org/wiki/Paul_Biya)
Orta Afrika,Kamerun,Bakassi Yarımadası Kararı,Diplomasi,2002,2002,2002,2000,UAD'nin Kamerun lehine kararı. [Wikipedia](https://tr.wikipedia.org/wiki/Bakassi)
Orta Afrika,Kamerun,Nyos Gölü Faciası,Doğal Afet,1986,1986,1986,1980,Gaz patlaması sonucu 1700 ölüm. [Wikipedia](https://tr.wikipedia.org/wiki/Nyos_Gölü)
Orta Afrika,Kamerun,Anglophone Krizi,Savaş/Çatışma,2017,2017,2024,2010,İngilizce konuşulan bölgelerde ayrılıkçı çatışmalar. [Wikipedia](https://tr.wikipedia.org/wiki/Ambazonya)
Orta Afrika,Kamerun,Boko Haram Saldırıları,Terör Saldırısı,2014,2014,2024,2010,Kuzeyde süregelen terör eylemleri. [Wikipedia](https://tr.wikipedia.org/wiki/Boko_Haram)
Orta Afrika,Kamerun,Futbol Şampiyonluğu 2017,Kültür/Bilim,2017,2017,2017,2010,Afrika Uluslar Kupası zaferi. [Wikipedia](https://tr.wikipedia.org/wiki/Kamerun_millî_futbol_takımı)
Orta Afrika,Kamerun,Majör Ulusal Diyalog,Diplomasi,2019,2019,2019,2010,Kriz çözümü için ulusal görüşmeler. [Wikipedia](https://tr.wikipedia.org/wiki/Kamerun)
Orta Afrika,Çad,Bağımsızlık,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Fransa'dan bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Çad)
Orta Afrika,Çad,Tombalbaye Suikastı,Savaş/Çatışma,1975,1975,1975,1970,İlk başkanın öldürülmesi. [Wikipedia](https://tr.wikipedia.org/wiki/François_Tombalbaye)
Orta Afrika,Çad,Habre Darbesi,Savaş/Çatışma,1982,1982,1982,1980,Hissène Habré'nin iktidarı ele geçirmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Hissène_Habré)
