region,country,event,category,year,year_start,year_end,decade,summary
Doğu Afrika,Eritre,Bağımsızlık Savaşı Başlangıcı,Savaş/Çatışma,1961,1961,1991,1960,Hamid İdris Avatı ve ELF'nin kuruluşu. [Wikipedia](https://tr.wikipedia.org/wiki/Eritre_Bağımsızlık_Savaşı)
Doğu Afrika,Eritre,Bağımsızlık 1993,Devrim/Rejim Değişikliği,1993,1993,1993,1990,Referandum ve uluslararası tanınma. [Wikipedia](https://tr.wikipedia.org/wiki/Eritre)
Doğu Afrika,Eritre,Etiyopya Savaşı 1998,Savaş/Çatışma,1998,1998,2000,1990,Badme sınır kasabası yüzünden çıkan savaş. [Wikipedia](https://tr.wikipedia.org/wiki/Eritre-Etiyopya_Savaşı)
Doğu Afrika,Eritre,Isaias Afwerki,Önemli Lider,1993,1993,2024,1990,Bağımsızlıktan beri tek lider. [Wikipedia](https://tr.wikipedia.org/wiki/Isaias_Afwerki)
Doğu Afrika,Eritre,Asmara UNESCO,Kültür/Bilim,2017,2017,2017,2010,Başkentin Modernist mimari listesine girmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Asmara)
Doğu Afrika,Eritre,Barış Anlaşması 2018,Diplomasi,2018,2018,2018,2010,Etiyopya ile 20 yıllık husumetin bitişi. [Wikipedia](https://tr.wikipedia.org/wiki/Eritre-Etiyopya_barış_süreci)
Doğu Afrika,Cibuti,Bağımsızlık,Devrim/Rejim Değişikliği,1977,1977,1977,1970,Fransa'dan bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Cibuti)
Doğu Afrika,Cibuti,İç Savaş,Savaş/Çatışma,1991,1991,1994,1990,Afar isyancıları ve hükümet çatışması. [Wikipedia](https://tr.wikipedia.org/wiki/Cibuti_İç_Savaşı)
Doğu Afrika,Cibuti,Yabancı Üsler,Diplomasi,2002,2002,2024,2000,ABD, Fransa, Çin askeri üslerinin kurulması. [Wikipedia](https://tr.wikipedia.org/wiki/Camp_Lemonnier)
Doğu Afrika,Somali,Ogaden Savaşı,Savaş/Çatışma,1977,1977,1978,1970,Etiyopya ile sınır savaşı ve yenilgi. [Wikipedia](https://tr.wikipedia.org/wiki/Ogaden_Savaşı)
Doğu Afrika,Somali,Siad Barre'nin Düşüşü,Devrim/Rejim Değişikliği,1991,1991,1991,1990,İç savaşın ve devlet çöküşünün başlangıcı. [Wikipedia](https://tr.wikipedia.org/wiki/Siad_Barre)
Doğu Afrika,Somali,Black Hawk Down,Savaş/Çatışma,1993,1993,1993,1990,Mogadişu Muharebesi ve ABD askerleri. [Wikipedia](https://tr.wikipedia.org/wiki/Mogadişu_Muharebesi_(1993))
Doğu Afrika,Somali,Korsanlık Krizi,Savaş/Çatışma,2005,2005,2012,2000,Aden Körfezi'nde gemi kaçırmalar. [Wikipedia](https://tr.wikipedia.org/wiki/Somali'de_korsanlık)
Doğu Afrika,Somali,Eş-Şebab Yükselişi,Terör Saldırısı,2006,2006,2024,2000,İslamcı örgütün güçlenmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Eş-Şebab)
Doğu Afrika,Somali,Mogadişu Saldırısı 2017,Terör Saldırısı,2017,2017,2017,2010,Zobe kavşağında 500+ ölümlü saldırı. [Wikipedia](https://tr.wikipedia.org/wiki/14_Ekim_2017_Mogadişu_saldırısı)
Doğu Afrika,Uganda,Bağımsızlık,Devrim/Rejim Değişikliği,1962,1962,1962,1960,İngiltere'den bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Uganda)
Doğu Afrika,Uganda,İdi Amin Darbesi,Savaş/Çatışma,1971,1971,1971,1970,Obote'nin devrilmesi ve diktatörlük. [Wikipedia](https://tr.wikipedia.org/wiki/İdi_Amin)
Doğu Afrika,Uganda,Entebbe Baskını,Savaş/Çatışma,1976,1976,1976,1970,İsrail komandolarının rehine kurtarma operasyonu. [Wikipedia](https://tr.wikipedia.org/wiki/Entebbe_Operasyonu)
Doğu Afrika,Uganda,Tanzanya Savaşı,Savaş/Çatışma,1978,1978,1979,1970,Amin rejiminin sonu. [Wikipedia](https://tr.wikipedia.org/wiki/Uganda-Tanzanya_Savaşı)
Doğu Afrika,Uganda,Museveni İktidarı,Önemli Lider,1986,1986,2024,1980,NRA gerillalarının zaferi. [Wikipedia](https://tr.wikipedia.org/wiki/Yoweri_Museveni)
Doğu Afrika,Ruanda,Bağımsızlık,Devrim/Rejim Değişikliği,1962,1962,1962,1960,Belçika'dan bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Ruanda)
Doğu Afrika,Ruanda,1994 Soykırımı,Savaş/Çatışma,1994,1994,1994,1990,Tutsilere yönelik 100 gün süren katliam. [Wikipedia](https://tr.wikipedia.org/wiki/Ruanda_Soykırımı)
Doğu Afrika,Ruanda,Kagame Dönemi,Önemli Lider,2000,2000,2024,2000,Yeniden inşa ve ekonomik büyüme. [Wikipedia](https://tr.wikipedia.org/wiki/Paul_Kagame)
Doğu Afrika,Burundi,Ndadaye Suikastı,Savaş/Çatışma,1993,1993,1993,1990,İlk Hutu başkanın öldürülmesi ve iç savaş. [Wikipedia](https://tr.wikipedia.org/wiki/Melchior_Ndadaye)
Doğu Afrika,Burundi,Arusha Anlaşması,Diplomasi,2000,2000,2000,2000,İç savaşı bitiren barış süreci. [Wikipedia](https://tr.wikipedia.org/wiki/Arusha_Anlaşmaları)
Doğu Afrika,Burundi,2015 Krizi,Devrim/Rejim Değişikliği,2015,2015,2015,2010,Nkurunziza'nın 3. dönem adaylığı protestoları. [Wikipedia](https://tr.wikipedia.org/wiki/2015_Burundi_huzursuzluğu)
Doğu Afrika,Tanzanya,Tanganika ve Zanzibar,Diplomasi,1964,1964,1964,1960,İki ülkenin birleşmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Tanzanya)
Doğu Afrika,Tanzanya,Nyerere ve Ujamaa,Önemli Lider,1967,1967,1985,1960,Afrika sosyalizmi denemesi. [Wikipedia](https://tr.wikipedia.org/wiki/Julius_Nyerere)
Doğu Afrika,Tanzanya,1998 Elçilik Saldırısı,Terör Saldırısı,1998,1998,1998,1990,ABD Büyükelçiliği bombalanması. [Wikipedia](https://tr.wikipedia.org/wiki/1998_ABD_büyükelçilikleri_saldırıları)
Doğu Afrika,Tanzanya,Magufuli Dönemi,Önemli Lider,2015,2015,2021,2010,"Buldozer" lakaplı lider ve COVID inkarı. [Wikipedia](https://tr.wikipedia.org/wiki/John_Magufuli)
Güney Afrika,Angola,Bağımsızlık Savaşı,Savaş/Çatışma,1961,1961,1974,1960,Portekiz'e karşı mücadele. [Wikipedia](https://tr.wikipedia.org/wiki/Angola_Bağımsızlık_Savaşı)
Güney Afrika,Angola,Bağımsızlık 1975,Devrim/Rejim Değişikliği,1975,1975,1975,1970,MPLA yönetimi. [Wikipedia](https://tr.wikipedia.org/wiki/Angola)
Güney Afrika,Angola,İç Savaş,Savaş/Çatışma,1975,1975,2002,1970,MPLA ve UNITA arasında 27 yıl savaş. [Wikipedia](https://tr.wikipedia.org/wiki/Angola_İç_Savaşı)
Güney Afrika,Angola,Cuito Cuanavale,Savaş/Çatışma,1988,1988,1988,1980,Afrika tarihinin en büyük tank savaşı. [Wikipedia](https://tr.wikipedia.org/wiki/Cuito_Cuanavale_Muharebesi)
