region,country,event,category,year,year_start,year_end,decade,summary
Doğu Afrika,Güney Sudan,Bağımsızlık,Devrim/Rejim Değişikliği,2011,2011,2011,2010,Sudan'dan ayrlarak bağımsızlığını ilan etmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Güney_Sudan)
Doğu Afrika,Güney Sudan,İç Savaş Başlangıcı,Savaş/Çatışma,2013,2013,2020,2010,Kiir ve Machar güçleri arasında çatışmalar. [Wikipedia](https://tr.wikipedia.org/wiki/Güney_Sudan_İç_Savaşı)
Doğu Afrika,Güney Sudan,Açlık Krizi,Doğal Afet,2017,2017,2017,2010,Savaş ve kuraklık nedeniyle kıtlık ilanı. [Wikipedia](https://tr.wikipedia.org/wiki/Güney_Sudan)
Doğu Afrika,Güney Sudan,Barış Anlaşması,Diplomasi,2018,2018,2018,2010,İç savaşı sonlandıran anlaşma. [Wikipedia](https://tr.wikipedia.org/wiki/Güney_Sudan)
Doğu Afrika,Güney Sudan,BM Üyeliği,Diplomasi,2011,2011,2011,2010,BM'nin 193. üyesi olması. [Wikipedia](https://tr.wikipedia.org/wiki/Birleşmiş_Milletler)
Doğu Afrika,Güney Sudan,Heglig Çatışması,Savaş/Çatışma,2012,2012,2012,2010,Sudan ile sınır ve petrol çatışması. [Wikipedia](https://tr.wikipedia.org/wiki/Heglig)
Doğu Afrika,Güney Sudan,John Garang'ın Ölümü,Önemli Lider,2005,2005,2005,2000,Bağımsızlık liderinin helikopter kazasında ölümü. [Wikipedia](https://tr.wikipedia.org/wiki/John_Garang)
Doğu Afrika,Güney Sudan,Otonomi Anlaşması,Diplomasi,2005,2005,2005,2000,Kapsamlı Barış Anlaşması (CPA). [Wikipedia](https://tr.wikipedia.org/wiki/Naivasha_Anlaşması)
Doğu Afrika,Tanzanya,Zanzibar Devrimi,Devrim/Rejim Değişikliği,1964,1964,1964,1960,Sultanlığın devrilmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Zanzibar_Devrimi)
Doğu Afrika,Tanzanya,Başkentin Dodoma'ya Taşınması,Devrim/Rejim Değişikliği,1973,1973,1996,1970,Darüsselam'dan idari merkezin taşınması. [Wikipedia](https://tr.wikipedia.org/wiki/Dodoma)
Doğu Afrika,Tanzanya,Sınırların Açılması (Kenya),Diplomasi,1983,1983,1983,1980,Doğu Afrika Topluluğu krizi sonrası normalleşme. [Wikipedia](https://tr.wikipedia.org/wiki/Tanzanya)
Doğu Afrika,Tanzanya,Mwinyi Reformları,Ekonomi,1985,1985,1995,1980,Serbest piyasa ekonomisine geçiş. [Wikipedia](https://tr.wikipedia.org/wiki/Ali_Hassan_Mwinyi)
Doğu Afrika,Tanzanya,Çok Partili Sistem,Devrim/Rejim Değişikliği,1995,1995,1995,1990,İlk çok partili seçimler. [Wikipedia](https://tr.wikipedia.org/wiki/Tanzanya)
Doğu Afrika,Tanzanya,Samia Suluhu Hassan,Önemli Lider,2021,2021,2024,2020,İlk kadın devlet başkanı. [Wikipedia](https://tr.wikipedia.org/wiki/Samia_Suluhu_Hassan)
Orta Afrika,Ekvator Ginesi,Bağımsızlık,Devrim/Rejim Değişikliği,1968,1968,1968,1960,İspanya'dan bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Ekvator_Ginesi)
Orta Afrika,Ekvator Ginesi,Macias Nguema Dönemi,Savaş/Çatışma,1968,1968,1979,1970,Acımasız diktatörlük dönemi. [Wikipedia](https://tr.wikipedia.org/wiki/Francisco_Macías_Nguema)
Orta Afrika,Ekvator Ginesi,1979 Darbesi,Savaş/Çatışma,1979,1979,1979,1970,Obiang'ın amcasını devirerek başa geçmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Teodoro_Obiang_Nguema_Mbasogo)
