region,country,event,category,year,year_start,year_end,decade,summary
Güney Afrika,Malavi,Bağımsızlık 1964,Devrim/Rejim Değişikliği,1964,1964,1964,1960,İngiltere'den bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Malavi)
Güney Afrika,Malavi,Cumhuriyet İlanı,Devrim/Rejim Değişikliği,1966,1966,1966,1960,Tek partili cumhuriyet. [Wikipedia](https://tr.wikipedia.org/wiki/Hastings_Banda)
Güney Afrika,Malavi,Banda Ömür Boyu Başkan,Devrim/Rejim Değişikliği,1971,1971,1971,1970,Banda'nın otoriter yönetimi. [Wikipedia](https://tr.wikipedia.org/wiki/Hastings_Banda)
Güney Afrika,Malavi,Referandum 1993,Devrim/Rejim Değişikliği,1993,1993,1993,1990,Çok partili sisteme geçiş. [Wikipedia](https://tr.wikipedia.org/wiki/Malavi)
Güney Afrika,Malavi,Bakili Muluzi Seçimi,Önemli Lider,1994,1994,1994,1990,İlk demokratik seçim. [Wikipedia](https://tr.wikipedia.org/wiki/Bakili_Muluzi)
Güney Afrika,Malavi,2001 Kıtlığı,Doğal Afet,2001,2001,2002,2000,Gıda krizi ve mısır eksikliği. [Wikipedia](https://tr.wikipedia.org/wiki/Malavi)
Güney Afrika,Malavi,Mutharika'nın Ölümü,Önemli Lider,2012,2012,2012,2010,Başkanın ani ölümü ve Joyce Banda'nın geçişi. [Wikipedia](https://tr.wikipedia.org/wiki/Bingu_wa_Mutharika)
Güney Afrika,Malavi,Cashgate Skandalı,Ekonomi,2013,2013,2013,2010,Büyük yolsuzluk skandalı. [Wikipedia](https://tr.wikipedia.org/wiki/Malavi)
Güney Afrika,Malavi,Seçim İptali,Devrim/Rejim Değişikliği,2020,2020,2020,2020,Mahkemenin seçimi iptal etmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Lazarus_Chakwera)
Güney Afrika,Malavi,Kasırga Freddy,Doğal Afet,2023,2023,2023,2020,Yıkıcı tropikal kasırga. [Wikipedia](https://tr.wikipedia.org/wiki/Freddie_Kasırgası)
Güney Afrika,Botsvana,Botswana Savunma Gücü,Savaş/Çatışma,1977,1977,1977,1970,Rodezya saldırılarına karşı ordu kuruluşu. [Wikipedia](https://tr.wikipedia.org/wiki/Botsvana_Savunma_Kuvveti)
Güney Afrika,Botsvana,Gabarone Baskını,Savaş/Çatışma,1985,1985,1985,1980,Güney Afrika komandolarının baskını. [Wikipedia](https://tr.wikipedia.org/wiki/Gaborone)
Güney Afrika,Botsvana,Masire Cumhurbaşkanlığı,Önemli Lider,1980,1980,1998,1980,Khama'nın ölümü sonrası istikrar. [Wikipedia](https://tr.wikipedia.org/wiki/Quett_Masire)
Güney Afrika,Botsvana,HIV Mücadelesi,Kültür/Bilim,2002,2002,2024,2000,Afrika'da ilk ücretsiz ARV tedavisi. [Wikipedia](https://tr.wikipedia.org/wiki/Botsvana'da_HIV/AIDS)
Güney Afrika,Botsvana,Ian Khama Dönemi,Önemli Lider,2008,2008,2018,2000,Kurucunun oğlunun başkanlığı. [Wikipedia](https://tr.wikipedia.org/wiki/Ian_Khama)
Güney Afrika,Botsvana,Fil Avı Yasağı Kaldırılması,Kültür/Bilim,2019,2019,2019,2010,Tartışmalı av kararı. [Wikipedia](https://tr.wikipedia.org/wiki/Botsvana)
Güney Afrika,Botsvana,Okavango UNESCO,Kültür/Bilim,2014,2014,2014,2010,Deltanin miras listesine girmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Okavango_Deltası)
Güney Afrika,Botsvana,Mokgweetsi Masisi,Önemli Lider,2018,2018,2024,2010,Mevcut başkanın göreve gelişi. [Wikipedia](https://tr.wikipedia.org/wiki/Mokgweetsi_Masisi)
Güney Afrika,Zambiya,Mulungushi Reformları,Ekonomi,1968,1968,1968,1960,Ekonominin millileştirilmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Kenneth_Kaunda)
Güney Afrika,Zambiya,Tek Parti Devleti,Devrim/Rejim Değişikliği,1972,1972,1972,1970,Kaunda'nın otoritesini pekiştirmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Zambiya)
Güney Afrika,Zambiya,Demokratik Seçimler 1991,Devrim/Rejim Değişikliği,1991,1991,1991,1990,Chiluba'nın zaferi. [Wikipedia](https://tr.wikipedia.org/wiki/Frederick_Chiluba)
Güney Afrika,Zambiya,Levy Mwanawasa,Önemli Lider,2002,2002,2008,2000,Yolsuzlukla mücadele dönemi. [Wikipedia](https://tr.wikipedia.org/wiki/Levy_Mwanawasa)
Güney Afrika,Zambiya,2011 Seçimleri,Devrim/Rejim Değişikliği,2011,2011,2011,2010,Michael Sata ve barışçıl değişim. [Wikipedia](https://tr.wikipedia.org/wiki/Michael_Sata)
Güney Afrika,Zambiya,Borç Krizi Temerrüdü,Ekonomi,2020,2020,2020,2020,Pandemi döneminde temerrüde düşen ilk Afrika ülkesi. [Wikipedia](https://tr.wikipedia.org/wiki/Zambiya)
Güney Afrika,Zambiya,Hichilema Zaferi,Devrim/Rejim Değişikliği,2021,2021,2021,2020,Muhalefetin büyük zaferi. [Wikipedia](https://tr.wikipedia.org/wiki/Hakainde_Hichilema)
Güney Afrika,Zambiya,Lusaka Barış Görüşmeleri,Diplomasi,1984,1984,1984,1980,Güney Afrika savaşları için arabuluculuk. [Wikipedia](https://tr.wikipedia.org/wiki/Zambiya)
Güney Afrika,Komorlar,Ali Soilih Darbesi,Savaş/Çatışma,1976,1976,1978,1970,Sosyalist devrim girişimi. [Wikipedia](https://tr.wikipedia.org/wiki/Ali_Soilih)
Güney Afrika,Komorlar,Abdallah Suikastı,Önemli Lider,1989,1989,1989,1980,Başkanın öldürülmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Ahmed_Abdallah)
Güney Afrika,Komorlar,Anjouan Ayrılığı,Savaş/Çatışma,1997,1997,2001,1990,Adaların ayrılık ilanı. [Wikipedia](https://tr.wikipedia.org/wiki/Anjouan)
Güney Afrika,Komorlar,2008 İşgali,Savaş/Çatışma,2008,2008,2008,2000,Anjouan'a askeri müdahale. [Wikipedia](https://tr.wikipedia.org/wiki/2008_Anjouan_işgali)
Güney Afrika,Komorlar,Yeni Anayasa 2001,Devrim/Rejim Değişikliği,2001,2001,2001,2000,Birlik yapısının yeniden düzenlenmesi. [Wikipedia](https://tr.wikipedia.org/wiki/Komorlar)
Güney Afrika,Komorlar,Azali Assoumani,Önemli Lider,2016,2016,2024,2010,Tekrar seçilmesi ve anayasa değişikliği. [Wikipedia](https://tr.wikipedia.org/wiki/Azali_Assoumani)
Güney Afrika,Komorlar,Fransa Mayotte Sorunu,Diplomasi,1975,1975,2024,1970,Mayotte adasının Fransa'da kalması. [Wikipedia](https://tr.wikipedia.org/wiki/Mayotte)
Güney Afrika,Seyseller,1981 Darbe Girişimi,Savaş/Çatışma,1981,1981,1981,1980,Mike Hoare liderliğinde paralı asker baskını. [Wikipedia](https://tr.wikipedia.org/wiki/1981_Seyşeller_darbe_girişimi)
Güney Afrika,Seyseller,Çok Partili Dönem,Devrim/Rejim Değişikliği,1993,1993,1993,1990,Rene'nin reformları. [Wikipedia](https://tr.wikipedia.org/wiki/Seyşeller)
Güney Afrika,Seyseller,Michel Dönemi,Önemli Lider,2004,2004,2016,2000,Turizm odaklı büyüme. [Wikipedia](https://tr.wikipedia.org/wiki/James_Michel)
Güney Afrika,Seyseller,Muhalefet Zaferi 2020,Devrim/Rejim Değişikliği,2020,2020,2020,2020,Ramkalawan'ın seçilmesi (İlk değişim). [Wikipedia](https://tr.wikipedia.org/wiki/Wavel_Ramkalawan)
Güney Afrika,Seyseller,Mavi Ekonomi,Ekonomi,2018,2018,2024,2010,Okyanus koruma bonoları. [Wikipedia](https://tr.wikipedia.org/wiki/Mavi_ekonomi)
Güney Afrika,Seyseller,Aldabra Atolü,Kültür/Bilim,1982,1982,1982,1980,UNESCO Dünya Mirası ilanı. [Wikipedia](https://tr.wikipedia.org/wiki/Aldabra)
Güney Afrika,Mauritius,Cumhuriyet İlanı,Devrim/Rejim Değişikliği,1992,1992,1992,1990,Monarşinin kaldırılması. [Wikipedia](https://tr.wikipedia.org/wiki/Mauritius)
