region,country,event,category,year,year_start,year_end,decade,summary
Batı Afrika,Benin,Bağımsızlık 1960,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Dahomey adıyla bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Benin)
Batı Afrika,Benin,Kerekou Darbesi,Savaş/Çatışma,1972,1972,1972,1970,Mathieu Kérékou'nun iktidarı alması. [Wikipedia](https://tr.wikipedia.org/wiki/Mathieu_Kérékou)
Batı Afrika,Benin,Marksist Rejim İlanı,Devrim/Rejim Değişikliği,1975,1975,1975,1970,Benin Halk Cumhuriyeti'nin kuruluşu. [Wikipedia](https://tr.wikipedia.org/wiki/Benin_Halk_Cumhuriyeti)
Batı Afrika,Benin,Paralı Asker Saldırısı,Savaş/Çatışma,1977,1977,1977,1970,Bob Denard liderliğindeki başarısız darbe. [Wikipedia](https://tr.wikipedia.org/wiki/1977_Benin_darbe_girişimi)
Batı Afrika,Benin,Demokrasiye Geçiş,Devrim/Rejim Değişikliği,1990,1990,1990,1990,Ulusal Konferans ve çok partili sistem. [Wikipedia](https://tr.wikipedia.org/wiki/Benin)
Batı Afrika,Benin,Soglo'nun Seçimi,Önemli Lider,1991,1991,1991,1990,Afrika'da ilk demokratik iktidar değişimi. [Wikipedia](https://tr.wikipedia.org/wiki/Nicéphore_Soglo)
Batı Afrika,Benin,Kerekou'nun Dönüşü,Önemli Lider,1996,1996,1996,1990,Sandıkla geri gelen eski lider. [Wikipedia](https://tr.wikipedia.org/wiki/Mathieu_Kérékou)
Batı Afrika,Benin,Voodoo Festivali,Kültür/Bilim,1996,1996,2024,1990,Ouidah'da ulusal bayram ilanı. [Wikipedia](https://tr.wikipedia.org/wiki/Vudu)
Batı Afrika,Benin,Talon Reformları,Ekonomi,2016,2016,2024,2010,Pamuk sektörü ve liman özelleştirmeleri. [Wikipedia](https://tr.wikipedia.org/wiki/Patrice_Talon)
Batı Afrika,Benin,Bronzların İadesi,Diplomasi,2021,2021,2021,2020,Fransa'dan tarihi eserlerin geri alımı. [Wikipedia](https://tr.wikipedia.org/wiki/Benin_Bronzları)
Batı Afrika,Togo,Bağımsızlık,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Fransa'dan bağımsızlık. [Wikipedia](https://tr.wikipedia.org/wiki/Togo)
Batı Afrika,Togo,Olympio Suikastı,Önemli Lider,1963,1963,1963,1960,Afrika'da ilk askeri darbe ve başkan ölümü. [Wikipedia](https://tr.wikipedia.org/wiki/Sylvanus_Olympio)
Batı Afrika,Togo,Eyadema Dönemi,Önemli Lider,1967,1967,2005,1960,38 yıllık iktidar. [Wikipedia](https://tr.wikipedia.org/wiki/Gnassingbé_Eyadéma)
Batı Afrika,Togo,Lome Sözleşmesi,Diplomasi,1975,1975,1975,1970,AB ile ACP ülkeleri arasında ticaret anlaşması. [Wikipedia](https://tr.wikipedia.org/wiki/Lomé_Sözleşmesi)
Batı Afrika,Togo,2005 Olayları,Savaş/Çatışma,2005,2005,2005,2000,Baba Eyadema'nın ölümü ve oğlunun geçişi. [Wikipedia](https://tr.wikipedia.org/wiki/Faure_Gnassingbé)
Batı Afrika,Togo,Futbol Takımı Saldırısı,Terör Saldırısı,2010,2010,2010,2010,Angola'da milli takıma silahlı saldırı. [Wikipedia](https://tr.wikipedia.org/wiki/Togo_millî_futbol_takımı_otobüsüne_saldırı)
Batı Afrika,Togo,Commonwealth Üyeliği,Diplomasi,2022,2022,2022,2020,İngiliz Milletler Topluluğu'na katılım. [Wikipedia](https://tr.wikipedia.org/wiki/Milletler_Topluluğu)
