region,country,event,category,year,year_start,year_end,decade,summary
Balkanlar,Sırbistan,Sırp-Hırvat-Sloven Krallığı,Devrim/Rejim Değişikliği,1918,1918,1918,1910,I. Dünya Savaşı sonrası güney Slavlarını birleştiren krallığın ilanı.
Balkanlar,Sırbistan,Kral Alexander Suikastı,Önemli Lider,1934,1934,1934,1930,Yugoslavya Kralı I. Alexander'ın Marsilya'da suikaste kurban gitmesi.
Balkanlar,Sırbistan,Nazi İşgali ve Partizan Direnişi,Savaş/Çatışma,1941,1941,1945,1940,Almanya'nın Yugoslavya'yı işgali ve Tito önderliğindeki partizan direnişi.
Balkanlar,Sırbistan,Tito ile Stalin Ayrılığı,Devrim/Rejim Değişikliği,1948,1948,1948,1940,Yugoslavya'nın Doğu Bloğu'ndan koparak Bağlantısızlar Hareketi'ne yönelmesi.
Balkanlar,Sırbistan,Zoran Djindjic Suikastı,Terör Saldırısı,2003,2003,2003,2000,Reformcu başbakanın organize suç örgütleri tarafından öldürülmesi.
Balkanlar,Sırbistan,Karadağ'ın Ayrılması,Devrim/Rejim Değişikliği,2006,2006,2006,2000,Referandum sonucu Sırbistan-Karadağ birliğinin sona ermesi.
Balkanlar,Hırvatistan,Bağımsız Hırvatistan Devleti (NDH),Savaş/Çatışma,1941,1941,1945,1940,Nazi kuklası faşist rejimin kurulması.
Balkanlar,Hırvatistan,Hırvat Baharı,Devrim/Rejim Değişikliği,1971,1971,1971,1970,Daha fazla özerklik talep eden milliyetçi hareketin bastırılması.
Balkanlar,Hırvatistan,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1991,1991,1991,1990,Yugoslavya'dan ayrılma kararı ve savaşın başlaması.
Balkanlar,Hırvatistan,Fırtına Harekatı (Operation Storm),Savaş/Çatışma,1995,1995,1995,1990,Hırvat ordusunun Krajina bölgesini geri alarak savaşı bitirmesi.
Balkanlar,Hırvatistan,AB Üyeliği,Ekonomi,2013,2013,2013,2010,Hırvatistan'ın Avrupa Birliği'nin 28. üyesi olması.
Balkanlar,Hırvatistan,Euro Bölgesine Katılım,Ekonomi,2023,2023,2023,2020,Hırvatistan'ın resmi para birimi olarak Euro'yu kabul etmesi.
Balkanlar,Bosna Hersek,Kış Olimpiyatları,Kültür/Bilim,1984,1984,1984,1980,Saraybosna'da düzenlenen 1984 Kış Olimpiyatları.
Balkanlar,Bosna Hersek,Srebrenitsa Katliamı,Savaş/Çatışma,1995,1995,1995,1990,Sırp güçlerinin 8 binden fazla Boşnak sivili katletmesi.
Balkanlar,Bosna Hersek,Dayton Anlaşması,Devrim/Rejim Değişikliği,1995,1995,1995,1990,Bosna Savaşı'nı sona erdiren barış antlaşması.
Balkanlar,Bosna Hersek,Mostar Köprüsü Açılışı,Kültür/Bilim,2004,2004,2004,2000,Savaşta yıkılan tarihi köprünün restore edilerek açılması.
Balkanlar,Bosna Hersek,Sel Felaketi,Doğal Afet,2014,2014,2014,2010,Balkanları vuran tarihi sel felaketi.
Balkanlar,Arnavutluk,Kral Zog Dönemi,Önemli Lider,1928,1928,1939,1920,Ahmet Zogu'nun kendini kral ilan etmesi.
Balkanlar,Arnavutluk,Enver Hoca Rejimi,Devrim/Rejim Değişikliği,1944,1944,1985,1940,Dünyadan izole komünist diktatörlük dönemi.
