region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,Estonya,Bağımsızlık Savaşı,Savaş/Çatışma,1918,1918,1920,1910,Sovyet Rusya'ya karşı verilen ve Tartu Antlaşması ile bağımsızlığın kazanıldığı savaş.
Avrupa,Estonya,Sovyet İşgali,Savaş/Çatışma,1940,1940,1940,1940,Molotov-Ribbentrop Paktı sonucu ülkenin ilhak edilmesi.
Avrupa,Estonya,Şarkı Devrimi,Devrim/Rejim Değişikliği,1987,1987,1991,1980,Sovyet yönetimine karşı barışçıl müzikli protestolar.
Avrupa,Estonya,Bağımsızlığın Yeniden İlanı,Devrim/Rejim Değişikliği,1991,1991,1991,1990,Sovyetler Birliği'nden ayrılış.
Avrupa,Estonya,AB ve NATO Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Batı ittifakına tam entegrasyon.
Avrupa,Estonya,Bronz Asker Krizi,Kültür & Toplum,2007,2007,2007,2000,Sovyet anıtının taşınması sonrası siber saldırılar ve ayaklanma.
Avrupa,Estonya,e-Residency Programı,Teknoloji,2014,2014,2024,2010,Dünyanın ilk dijital vatandaşlık programının başlatılması.
Avrupa,Estonya,İlk Kadın Başbakan (Kaja Kallas),Devrim/Rejim Değişikliği,2021,2021,2024,2020,Reform Partisi liderinin hükümeti kurması.
Avrupa,Estonya,Euro'ya Geçiş,Ekonomi,2011,2011,2011,2010,Kuron yerine Euro kullanımı.
Avrupa,Estonya,Estonia Feribot Faciası,Kültür & Toplum,1994,1994,1994,1990,Baltık Denizi'nde 852 kişinin öldüğü trajedi.
Avrupa,Letonya,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1918,1918,1918,1910,Rus İmparatorluğu'ndan ayrılış.
Avrupa,Letonya,Bağımsızlığın Restorasyonu,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB dağılırken tam bağımsızlık.
Avrupa,Letonya,AB ve NATO Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Komşularıyla birlikte Batı bloğuna katılım.
Avrupa,Letonya,Zolitūdе Faciası,Kültür & Toplum,2013,2013,2013,2010,Süpermarket çatısının çökmesi ve 54 ölüm.
Avrupa,Letonya,Euro'ya Geçiş,Ekonomi,2014,2014,2014,2010,Lat yerine Euro kullanımı.
Avrupa,Letonya,Özgürlük Anıtı'nın Korunması,Kültür & Toplum,1935,1935,2024,1930,Riga'nın sembolü anıtın sovyet döneminde dahi ayakta kalması.
Avrupa,Letonya,Vaira Vike-Freiberga Dönemi,Önemli Lider,1999,1999,2007,1990,Doğu Avrupa'nın ilk kadın devlet başkanı.
Avrupa,Letonya,Uşakovs'un Görevden Alınması,Devrim/Rejim Değişikliği,2019,2019,2019,2010,Riga belediye başkanının yolsuzluk nedeniyle azli.
Avrupa,Letonya,Rusça Eğitim Yasağı,Kültür & Toplum,2022,2022,2024,2020,Okullarda eğitimin sadece Letonca olması kararı.
Avrupa,Litvanya,Bağımsızlık İlanı (SSCB'den İlk),Devrim/Rejim Değişikliği,1990,1990,1990,1990,Sovyet cumhuriyetleri arasında ilk ayrılan ülke.
Avrupa,Litvanya,Ocak Olayları (Vilnius Kanlı Pazar),Savaş/Çatışma,1991,1991,1991,1990,Sovyet tanklarının TV kulesine saldırısı.
Avrupa,Litvanya,Baltık Yolu,Kültür & Toplum,1989,1989,1989,1980,2 milyon insanın el ele tutuşarak oluşturduğu insan zinciri.
Avrupa,Litvanya,AB ve NATO Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Stratejik güvenlik hedefinin gerçekleşmesi.
Avrupa,Litvanya,Dalia Grybauskaitė Dönemi,Önemli Lider,2009,2009,2019,2000,"Demir Leydi" lakaplı başkanın yönetimi.
Avrupa,Litvanya,NATO Zirvesi (Vilnius),Savaş/Çatışma,2023,2023,2023,2020,Ukrayna'nın üyeliğinin tartışıldığı tarihi zirve.
Avrupa,Litvanya,Tayvan Temsilciliği Krizi,Devrim/Rejim Değişikliği,2021,2021,2022,2020,Çin ile diplomatik ilişkilerin gerilmesi.
Avrupa,Litvanya,Euro'ya Geçiş,Ekonomi,2015,2015,2015,2010,Litas yerine Euro kullanımı.
Avrupa,Litvanya,Suwalki Koridoru Gerilimi,Savaş/Çatışma,2022,2022,2024,2020,Kaliningrad ve Belarus arasındaki stratejik sınır endişesi.
