region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,Almanya,Yeniden Birleşme,Devrim/Rejim Değişikliği,1990,1990,1990,1990,Doğu ve Batı Almanya'nın birleşmesi.
Avrupa,Almanya,Berlin Duvarı'nın Yıkılışı,Devrim/Rejim Değişikliği,1989,1989,1989,1980,Soğuk Savaş'ın sembolünün çöküşü.
Avrupa,Almanya,Euro'ya Geçiş,Ekonomi,2002,2002,2002,2000,Mark'ın tedavülden kalkması.
Avrupa,Almanya,Angela Merkel Dönemi,Önemli Lider,2005,2005,2021,2000,16 yıllık şansölyelik ve AB liderliği.
Avrupa,Almanya,Mülteci Krizi ve 'Wir schaffen das',Kültür & Toplum,2015,2015,2015,2010,1 milyon mültecinin kabulü.
Avrupa,Almanya,Nükleer Enerjiden Çıkış,Kültür & Toplum,2011,2011,2023,2010,Fukuşima sonrası alınan tarihi karar.
Avrupa,Almanya,2006 Dünya Kupası,Kültür & Toplum,2006,2006,2006,2000,Almanya'nın ev sahipliği (Yaz Masalı).
Avrupa,Almanya,Olaf Scholz ve Zeitenwende,Devrim/Rejim Değişikliği,2022,2022,2024,2020,Rusya savaşı sonrası savunma politikasında dönüm noktası.
Avrupa,İtalya,Cumhuriyetin İlanı,Devrim/Rejim Değişikliği,1946,1946,1946,1940,Monarşinin referandumla kaldırılması.
Avrupa,İtalya,Roma Anlaşması (AET),Devrim/Rejim Değişikliği,1957,1957,1957,1950,AB'nin temellerinin atılması.
Avrupa,İtalya,Kurşun Yıllar (Anni di Piombo),Terör Saldırısı,1970,1970,1980,1970,Sağ ve sol terör örgütlerinin eylemleri.
Avrupa,İtalya,Aldo Moro Kaçırılması,Terör Saldırısı,1978,1978,1978,1970,Kızıl Tugaylar tarafından başbakanın öldürülmesi.
Avrupa,İtalya,Temiz Eller Operasyonu (Mani Pulite),Devrim/Rejim Değişikliği,1992,1992,1994,1990,Siyasi yolsuzluk soruşturmaları ve Birinci Cumhuriyet'in sonu.
Avrupa,İtalya,Berlusconi Dönemi,Önemli Lider,1994,1994,2011,1990,Medya patronunun siyasi hakimiyeti.
Avrupa,İtalya,COVID-19 Salgını (Lombardiya),Kültür & Toplum,2020,2020,2020,2020,Avrupa'da salgının ilk ve en sert vurduğu yer.
Avrupa,İtalya,Giorgia Meloni Seçimi,Devrim/Rejim Değişikliği,2022,2022,2022,2020,İkinci Dünya Savaşı'ndan beri en sağcı hükümet.
Avrupa,İtalya,Venedik Bienali,Kültür & Toplum,1895,1980,2024,1980,Dünyanın en prestijli sanat etkinliği.
Avrupa,Birleşik Krallık,Brexit Referandumu,Devrim/Rejim Değişikliği,2016,2016,2016,2010,AB'den ayrılma kararı.
Avrupa,Birleşik Krallık,Kraliçe II. Elizabeth'in Vefatı,Önemli Lider,2022,2022,2022,2020,70 yıllık saltanatın sonu.
Avrupa,Birleşik Krallık,Londra Olimpiyatları,Kültür & Toplum,2012,2012,2012,2010,Büyük başarıyla düzenlenen oyunlar.
Avrupa,Birleşik Krallık,Good Friday Anlaşması,Devrim/Rejim Değişikliği,1998,1998,1998,1990,Kuzey İrlanda barışı.
Avrupa,Birleşik Krallık,Falkland Savaşı,Savaş/Çatışma,1982,1982,1982,1980,Arjantin'e karşı zafer.
Avrupa,Birleşik Krallık,Margaret Thatcher Dönemi,Önemli Lider,1979,1979,1990,1980,Neoliberal dönüşüm ve Demir Leydi.
Avrupa,Birleşik Krallık,Rishi Sunak Başbakanlığı,Önemli Lider,2022,2022,2024,2020,İlk Asya kökenli başbakan.
Avrupa,Birleşik Krallık,Charles III Tac Giyme,Kültür & Toplum,2023,2023,2023,2020,Yeni kralın tahta çıkışı.
Avrupa,Avusturya,Devlet Antlaşması (Bağımsızlık),Devrim/Rejim Değişikliği,1955,1955,1955,1950,İşgalin sonu ve tarafsızlık ilanı.
Avrupa,Avusturya,AB Üyeliği,Devrim/Rejim Değişikliği,1995,1995,1995,1990,Avrupa Birliği'ne katılım.
Avrupa,Avusturya,Sebastian Kurz Dönemi,Önemli Lider,2017,2017,2021,2010,Genç şansölyenin yükselişi ve düşüşü.
Avrupa,Avusturya,Viyana Saldırısı,Terör Saldırısı,2020,2020,2020,2020,IŞİD sempatizanının silahlı eylemi.
Avrupa,Avusturya,Conchita Wurst Eurovision,Kültür & Toplum,2014,2014,2014,2010,Toplumsal cinsiyet tartışmaları ve zafer.
Avrupa,Polonya,Solidarnosc (Dayanışma) Hareketi,Devrim/Rejim Değişikliği,1980,1980,1989,1980,Komünizme karşı ilk bağımsız sendika.
Avrupa,Polonya,3. Cumhuriyetin Kuruluşu,Devrim/Rejim Değişikliği,1989,1989,1989,1980,Yuvarlak Masa görüşmeleri ve demokrasi.
Avrupa,Polonya,NATO Üyeliği,Devrim/Rejim Değişikliği,1999,1999,1999,1990,Batı ittifakına katılım.
Avrupa,Polonya,AB Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Büyük genişleme dalgası.
Avrupa,Polonya,Smolensk Uçak Kazası,Terör Saldırısı,2010,2010,2010,2010,Cumhurbaşkanı ve devlet erkanının ölümü (Kaza/Şüphe).
Avrupa,Polonya,Ukrayna Mülteci Desteği,Kültür & Toplum,2022,2022,2024,2020,Milyonlarca mülteciye kapıların açılması.
Avrupa,Polonya,Varşova Ayaklanması Müzesi,Kültür & Toplum,2004,2004,2004,2000,Tarihi hafızanın canlandırılması.
Avrupa,Macaristan,1956 Devrimi,Savaş/Çatışma,1956,1956,1956,1950,Sovyet tanklarına karşı halk ayaklanması.
Avrupa,Macaristan,Sınırların Açılması (Pan-Avrupa Pikniği),Devrim/Rejim Değişikliği,1989,1989,1989,1980,Demir Perde'de ilk gediğin açılması.
Avrupa,Macaristan,AB Üyeliği,Devrim/Rejim Değişikliği,2004,2004,2004,2000,Entegrasyon süreci.
Avrupa,Macaristan,Viktor Orban Dönemi,Önemli Lider,2010,2010,2024,2010,İlliberal demokrasi inşası.
Avrupa,Macaristan,Kızıl Çamur Felaketi,Kültür & Toplum,2010,2010,2010,2010,Zehirli atık barajının çökmesi.
