region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,İspanya,İspanya İç Savaşı,Savaş/Çatışma,1936,1936,1939,1930,Cumhuriyetçiler ve Milliyetçiler arasındaki kanlı savaş Franco diktatörlüğüyle sonuçlandı.
Avrupa,İspanya,Franco Diktatörlüğü,Devrim/Rejim Değişikliği,1939,1939,1975,1930,Francisco Franco'nun ölünceye kadar süren otoriter rejimi.
Avrupa,İspanya,ETA Örgütünün Kuruluşu,Terör Saldırısı,1959,1959,1959,1950,Bask bölgesinin bağımsızlığı için silahlı mücadele başlatan örgüt.
Avrupa,İspanya,Kral Juan Carlos ve Demokrasiye Geçiş,Devrim/Rejim Değişikliği,1975,1975,1978,1970,Franco'nun ölümü sonrası barışçıl anayasal monarşiye geçiş süreci.
Avrupa,İspanya,NATO Üyeliği,Devrim/Rejim Değişikliği,1982,1982,1982,1980,Batı ittifakına entegrasyon.
Avrupa,İspanya,AB Üyeliği,Devrim/Rejim Değişikliği,1986,1986,1986,1980,Avrupa Ekonomik Topluluğu'na katılım.
Avrupa,İspanya,Madrid Tren Saldırıları (3/11),Terör Saldırısı,2004,2004,2004,2000,El Kaide bağlantılı 191 kişinin öldüğü bombalı eylemler.
Avrupa,İspanya,2008 Ekonomik Krizi,Devrim/Rejim Değişikliği,2008,2008,2012,2000,Emlak balonunun patlaması ve yüksek işsizlik dönemi.
Avrupa,İspanya,Katalonya Bağımsızlık Referandumu,Devrim/Rejim Değişikliği,2017,2017,2017,2010,Yasadışı ilan edilen referandum sonrası anayasal kriz ve liderlerin tutuklanması.
Avrupa,İspanya,İspanya Kadın Milli Takımı Krizi (Rubiales),Kültür & Toplum,2023,2023,2023,2020,Dünya Kupası kutlamalarındaki taciz skandalı ve toplumsal tepki.
Avrupa,İspanya,Filistin Devletini Tanıma,Devrim/Rejim Değişikliği,2024,2024,2024,2020,İspanya'nın diğer AB ülkeleriyle birlikte Filistin'i resmen tanıması.
Avrupa,Portekiz,Karanfil Devrimi,Devrim/Rejim Değişikliği,1974,1974,1974,1970,Estado Novo diktatörlüğünü sona erdiren barışçıl askeri darbe.
Avrupa,Portekiz,Sömürge Savaşları,Savaş/Çatışma,1961,1961,1974,1960,Angola, Mozambik ve Gine-Bissau'da bağımsızlık hareketlerine karşı savaşlar.
Avrupa,Portekiz,AB Üyeliği,Devrim/Rejim Değişikliği,1986,1986,1986,1980,İspanya ile birlikte Avrupa Topluluğu'na katılım.
Avrupa,Portekiz,Macau'nun Devri,Devrim/Rejim Değişikliği,1999,1999,1999,1990,Son denizaşırı toprağın Çin'e devredilmesiyle imparatorluğun sonu.
Avrupa,Portekiz,Euro 2016 Şampiyonluğu,Kültür & Toplum,2016,2016,2016,2010,Futbol tarihindeki ilk büyük uluslararası zafer.
Avrupa,Portekiz,Ekonomik Kurtarma Paketi,Devrim/Rejim Değişikliği,2011,2011,2014,2010,Euro krizi nedeniyle IMF/AB kurtarma paketi ve kemer sıkma yılları.
Avrupa,Portekiz,Guterres'in BM Genel Sekreterliği,Önemli Lider,2017,2017,2024,2010,Eski başbakanın Birleşmiş Milletler'in başına geçmesi.
Avrupa,Portekiz,Lizbon Antlaşması,Devrim/Rejim Değişikliği,2007,2007,2007,2000,AB'nin anayasal yapısını reforme eden antlaşmanın imzalanması.
