region,country,event,category,year,year_start,year_end,decade,summary
Ortadoğu,Suudi Arabistan,Krallığın Kuruluşu,Devrim/Rejim Değişikliği,1932,1932,1932,1930,İbni Suud'un Hicaz ve Necd'i birleştirmesi.
Ortadoğu,Suudi Arabistan,Petrolün Keşfi,Ekonomi,1938,1938,1938,1930,Dammam'da petrol bulunması ve ülkenin kaderinin değişmesi.
Ortadoğu,Suudi Arabistan,Kral Faysal'a Suikast,Önemli Lider,1975,1975,1975,1970,Reformcu kralın yeğeni tarafından öldürülmesi.
Ortadoğu,Suudi Arabistan,Kabe Baskını,Terör Saldırısı,1979,1979,1979,1970,Cüheyman el-Uteybi liderliğindeki grubun Harem-i Şerif'i işgali.
Ortadoğu,Suudi Arabistan,Körfez Savaşı'na Katılım,Savaş/Çatışma,1990,1990,1991,1990,Saddam'a karşı ABD güçlerinin ülkede konuşlanması.
Ortadoğu,Suudi Arabistan,Kadınlara Ehliyet Hakkı,Kültür & Toplum,2018,2018,2018,2010,Veliaht Prens Selman'ın reform paketi.
Ortadoğu,Suudi Arabistan,Cemal Kaşıkçı Cinayeti,Savaş/Çatışma,2018,2018,2018,2010,İstanbul konsolosluğunda işlenen cinayet ve diplomatik kriz.
Ortadoğu,Suudi Arabistan,Vision 2030,Ekonomi,2016,2016,2030,2010,Petrole bağımlılığı azaltma vizyonu.
Ortadoğu,Suudi Arabistan,NEOM Projesi,Teknoloji,2017,2017,2030,2010,Fütüristik mega şehir projesinin ilanı.
Ortadoğu,Suudi Arabistan,İran ile Normalleşme,Devrim/Rejim Değişikliği,2023,2023,2023,2020,Çin arabuluculuğunda diplomatik ilişkilerin yeniden başlaması.
Ortadoğu,Irak,Bağımsızlık,Devrim/Rejim Değişikliği,1932,1932,1932,1930,İngiliz mandasının sonu.
Ortadoğu,Irak,1958 Darbesi,Devrim/Rejim Değişikliği,1958,1958,1958,1950,Monarşinin kanlı şekilde devrilmesi ve cumhuriyet ilanı.
Ortadoğu,Irak,Saddam Hüseyin İktidarı,Önemli Lider,1979,1979,2003,1970,Baas Partisi içinde mutlak güç kazanması.
Ortadoğu,Irak,İran-Irak Savaşı,Savaş/Çatışma,1980,1980,1988,1980,8 yıl süren ve milyonlarca cana mal olan savaş.
Ortadoğu,Irak,Halepçe Katliamı,Soykırım,1988,1988,1988,1980,Kürtlere karşı kimyasal silah kullanımı.
Ortadoğu,Irak,Irak'ın Kuveyt'i İşgali,Savaş/Çatışma,1990,1990,1991,1990,Körfez Savaşı'nı tetikleyen işgal.
Ortadoğu,Irak,ABD İşgali,Savaş/Çatışma,2003,2003,2011,2000,Saddam rejiminin devrilmesi.
