region,country,event,category,year,year_start,year_end,decade,summary
Ortadoğu,Turkiye,NATO Üyeliği,Diplomasi,1952,1952,1952,1950,Türkiye'nin NATO'ya katılımı.
Ortadoğu,Turkiye,6-7 Eylül Olayları,Savaş/Çatışma,1955,1955,1955,1950,İstanbul'da azınlıklara yönelik saldırılar.
Ortadoğu,Turkiye,1960 Darbesi,Devrim/Rejim Değişikliği,1960,1960,1960,1960,27 Mayıs askeri müdahalesi.
Ortadoğu,Turkiye,Boğaziçi Köprüsü,Kültür/Bilim,1973,1973,1973,1970,Asya ve Avrupa'yı bağlayan ilk köprü.
Ortadoğu,Turkiye,Kıbrıs Barış Harekatı,Savaş/Çatışma,1974,1974,1974,1970,Kıbrıs'a askeri müdahale.
Ortadoğu,Turkiye,Susurluk Kazası,Savaş/Çatışma,1996,1996,1996,1990,Devlet-mafya ilişkilerinin oraya çıkışı.
Ortadoğu,Turkiye,Gölcük Depremi,Doğal Afet,1999,1999,1999,1990,Marmara bölgesini yıkan büyük deprem.
Ortadoğu,Turkiye,2001 Ekonomik Krizi,Ekonomi,2001,2001,2001,2000,Cumhuriyet tarihinin en büyük ekonomik krizi.
Ortadoğu,Turkiye,AK Parti İktidarı,Devrim/Rejim Değişikliği,2002,2002,2002,2000,Tek parti iktidarının başlaması.
Ortadoğu,Turkiye,AB Müzakereleri,Diplomasi,2005,2005,2005,2000,Tam üyelik müzakerelerinin başlaması.
Ortadoğu,Turkiye,Gezi Parkı Olayları,Devrim/Rejim Değişikliği,2013,2013,2013,2010,Hükümet karşıtı kitlesel protestolar.
Ortadoğu,Iran,Musaddık Darbesi 1953,Savaş/Çatışma,1953,1953,1953,1950,CIA destekli darbe ile Şah'ın dönüşü.
Ortadoğu,Iran,Beyaz Devrim,Devrim/Rejim Değişikliği,1963,1963,1963,1960,Toprak reformu ve kadın hakları.
Ortadoğu,Iran,İslam Devrimi,Devrim/Rejim Değişikliği,1979,1979,1979,1970,Ayetullah Humeyni'nin dönüşü (Tekrar Ek).
Ortadoğu,Iran,Rehine Krizi,Diplomasi,1979,1979,1981,1970,ABD Büyükelçiliği işgali (Tekrar Ek).
