region,country,event,category,year,year_start,year_end,decade,summary
Afrika,Cezayir,Bağımsızlık Savaşı,Savaş/Çatışma,1954,1954,1962,1950,Fransa'ya karşı verilen kanlı bağımsızlık mücadelesi.
Afrika,Cezayir,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1962,1962,1962,1960,Fransa'dan resmen ayrılış.
Afrika,Cezayir,İç Savaş,Savaş/Çatışma,1991,1991,2002,1990,Hükümet ve İslamcı gruplar arasındaki "Kara On Yıl".
Afrika,Cezayir,Hiraq Hareketi,Devrim/Rejim Değişikliği,2019,2019,2021,2010,Buteflika'nın istifasına yol açan protestolar.
Afrika,Guney Afrika,Apartheid'ın Sonu,Devrim/Rejim Değişikliği,1994,1994,1994,1990,Mandela'nın seçilmesi ve ırkçı rejimin bitişi.
Afrika,Guney Afrika,Soweto Ayaklanması,Kültür & Toplum,1976,1976,1976,1970,Öğrencilerin ırkçı eğitim sistemine karşı isyanı.
Afrika,Guney Afrika,Sharpeville Katliamı,Savaş/Çatışma,1960,1960,1960,1960,Protestoculara açılan ateş sonucu 69 kişinin ölümü.
Afrika,Guney Afrika,FIFA Dünya Kupası,Kültür & Toplum,2010,2010,2010,2010,Afrika kıtasında düzenlenen ilk Dünya Kupası.
Afrika,Guney Afrika,BRICS Üyeliği,Ekonomi,2010,2010,2010,2010,Gelişmekte olan ekonomiler grubuna katılım.
Güney Amerika,Sili,Pinochet Darbesi,Devrim/Rejim Değişikliği,1973,1973,1973,1970,Allende'nin devrilmesi ve askeri cunta dönemi.
Güney Amerika,Sili,Demokrasiye Geçiş,Devrim/Rejim Değişikliği,1990,1990,1990,1990,Pinochet döneminin sona erip sivil yönetimin başlaması.
Güney Amerika,Sili,Büyük Şili Depremi,Kültür & Toplum,1960,1960,1960,1960,9.5 büyüklüğünde ölçülen e n güçlü deprem.
Güney Amerika,Sili,2019 Protestoları,Devrim/Rejim Değişikliği,2019,2019,2022,2010,Anayasa değişikliği talebiyle başlayan kitlesel eylemler.
Güney Amerika,Sili,Madencilerin Kurtarılması,Kültür & Toplum,2010,2010,2010,2010,San Jose madeninde mahsur kalan 33 madencinin kurtarılışı.
Avrupa,Ukrayna,Çernobil Faciası,Kültür & Toplum,1986,1986,1986,1980,Tarihin en büyük nükleer felaketi.
Avrupa,Ukrayna,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB'den ayrılış.
Avrupa,Ukrayna,Turuncu Devrim,Devrim/Rejim Değişikliği,2004,2004,2005,2000,Seçim yolsuzluklarına karşı barışçıl protestolar.
Avrupa,Ukrayna,Meydan (Euromaidan) Olayları,Devrim/Rejim Değişikliği,2014,2014,2014,2010,Yanukoviç'in devrilmesi ve AB yanlısı dönüş.
Avrupa,Ukrayna,Kırım'ın İlhakı,Savaş/Çatışma,2014,2014,2014,2010,Rusya'nın Kırım yarımadasını işgali.
Avrupa,Ukrayna,Rusya İşgali,Savaş/Çatışma,2022,2022,2024,2020,Rus ordusunun ülke genelinde başlattığı topyekün savaş.
Afrika,Fas,Bağımsızlık,Devrim/Rejim Değişikliği,1956,1956,1956,1950,Fransa ve İspanya'dan bağımsızlığın kazanılması.
Afrika,Fas,Yeşil Yürüyüş,Kültür & Toplum,1975,1975,1975,1970,Batı Sahra üzerinde hak iddia etmek için yapılan sivil yürüyüş.
Afrika,Fas,Casablanca Saldırıları,Terör Saldırısı,2003,2003,2003,2000,El-Kaide bağlantılı intihar saldırıları.
Asya,Endonezya,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1945,1945,1949,1940,Hollanda'ya karşı verilen mücadele ve bağımsızlık.
Asya,Endonezya,1965 Darbe Girişimi ve Katliamlar,Savaş/Çatışma,1965,1965,1966,1960,Komünist tasfiyesi adı altında yüz binlerce kişinin ölümü.
Asya,Endonezya,Suharto'nun İstifası,Devrim/Rejim Değişikliği,1998,1998,1998,1990,32 yıllık diktatörlüğün sonu.
Asya,Endonezya,Açe Tsunamisi,Kültür & Toplum,2004,2004,2004,2000,Hint Okyanusu depremi ve büyük yıkım.
Güney Amerika,Kolombiya,La Violencia,Savaş/Çatışma,1948,1948,1958,1940,Liberaller ve Muhafazakarlar arası iç savaş dönemi.
Güney Amerika,Kolombiya,FARC ile Barış,Devrim/Rejim Değişikliği,2016,2016,2016,2010,50 yıllık çatışmayı bitiren tarihi anlaşma.
Güney Amerika,Kolombiya,Pablo Escobar'ın Ölümü,Kültür & Toplum,1993,1993,1993,1990,Medellin karteli liderinin öldürülmesi.
Afrika,Nijerya,Bağımsızlık,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Britanya'dan ayrılış.
Afrika,Nijerya,Biafra Savaşı,Savaş/Çatışma,1967,1967,1970,1960,Milyonların açlıktan öldüğü iç savaş.
Afrika,Nijerya,Dördüncü Cumhuriyet'e Geçiş,Devrim/Rejim Değişikliği,1999,1999,1999,1990,Askeri yönetimden demokrasiye dönüş.
Avrupa,Bosna Hersek,Bağımsızlık Referandumu,Devrim/Rejim Değişikliği,1992,1992,1992,1990,Yugoslavya'dan ayrılma kararı.
Avrupa,Bosna Hersek,Srebrenitsa Soykırımı,Soykırım,1995,1995,1995,1990,8000+ Boşnak erkeğin katledilmesi.
Avrupa,Bosna Hersek,Dayton Antlaşması,Devrim/Rejim Değişikliği,1995,1995,1995,1990,Savaşın sona ermesi ve ülkenin bugünkü yapısının kurulması.
