region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,Hırvatistan,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1991,1991,1991,1990,Yugoslavya'dan ayrılma kararı.
Avrupa,Hırvatistan,Hırvatistan Savaşı,Savaş/Çatışma,1991,1991,1995,1990,Bağımsızlık sonrası Sırp güçleriyle çatışmalar.
Avrupa,Hırvatistan,Fırtına Operasyonu (Oluja),Savaş/Çatışma,1995,1995,1995,1990,Sırp işgalindeki toprakların geri alınması.
Avrupa,Hırvatistan,Dayton Antlaşması,Devrim/Rejim Değişikliği,1995,1995,1995,1990,Balkanlardaki savaşın sonu.
Avrupa,Hırvatistan,NATO Üyeliği,Devrim/Rejim Değişikliği,2009,2009,2009,2000,Batı ittifakına katılım.
Avrupa,Hırvatistan,AB Üyeliği,Devrim/Rejim Değişikliği,2013,2013,2013,2010,Avrupa Birliği'ne 28. üye olarak katılım.
Avrupa,Hırvatistan,Zagreb Depremi,Kültür & Toplum,2020,2020,2020,2020,Başkentte büyük hasara yol açan deprem.
Avrupa,Hırvatistan,Dünya Kupası Finali,Kültür & Toplum,2018,2018,2018,2010,Futbol milli takımının tarihi başarısı.
Avrupa,Hırvatistan,Pelješac Köprüsü,Ekonomi,2022,2022,2022,2020,Ülkenin güneyini kuzeyine bağlayan stratejik proje.
Avrupa,Hırvatistan,Euro'ya Geçiş,Ekonomi,2023,2023,2023,2020,Resmi para birimi olarak Euro'nun kabulü.
Avrupa,Moldova,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB'den ayrılış.
Avrupa,Moldova,Transdinyester Savaşı,Savaş/Çatışma,1992,1992,1992,1990,Ayrılıkçı bölge ile yaşanan çatışma.
Avrupa,Moldova,Komünistlerin Seçimi Kazanması,Devrim/Rejim Değişikliği,2001,2001,2001,2000,SSCB sonrası ilk kez komünist partinin iktidara dönüşü.
Avrupa,Moldova,2009 Twitter Devrimi,Devrim/Rejim Değişikliği,2009,2009,2009,2000,Seçim sonuçlarına karşı kitlesel protestolar.
Avrupa,Moldova,AB Adaylık Statüsü,Devrim/Rejim Değişikliği,2022,2022,2022,2020,Rusya-Ukrayna savaşı sonrası AB süreci.
Avrupa,Moldova,Bankacılık Skandalı,Ekonomi,2014,2014,2014,2010,GSYİH'nin %12'sinin ülkeden kaçırılması (Yüzyılın Hırsızlığı).
Avrupa,Moldova,Maia Sandu'nun Seçilmesi,Devrim/Rejim Değişikliği,2020,2020,2020,2020,Batı yanlısı reformcu liderin zaferi.
Avrupa,Moldova,Enerji Krizi,Ekonomi,2022,2022,2023,2020,Rus gazına bağımlılık nedeniyle yaşanan kriz.
Avrupa,Moldova,Gagavuzya Özerkliği,Devrim/Rejim Değişikliği,1994,1994,1994,1990,Türk kökenli Gagavuzlara özerklik verilmesi.
Avrupa,Moldova,Bağımsız Devletler Topluluğu'ndan Ayrılış,Devrim/Rejim Değişikliği,2023,2023,2023,2020,Rusya etkisinden uzaklaşma adımı.
