region,country,event,category,year,year_start,year_end,decade,summary
Karayipler,Trinidad ve Tobago,Bağımsızlık,Devrim/Rejim Değişikliği,1962,1962,1962,1960,Birleşik Krallık'tan bağımsızlık.
Karayipler,Trinidad ve Tobago,Cumhuriyet İlanı,Devrim/Rejim Değişikliği,1976,1976,1976,1970,Cumhuriyete geçiş.
Karayipler,Trinidad ve Tobago,Darbe Girişimi,Savaş/Çatışma,1990,1990,1990,1990,Jamaat al Muslimeen darbe teşebbüsü.
Karayipler,Trinidad ve Tobago,Kamla Persad-Bissessar,Önemli Lider,2010,2010,2015,2010,İlk kadın başbakan.
Kafkasya,Gurcistan,Bağımsızlık 1918,Devrim/Rejim Değişikliği,1918,1918,1918,1910,Demokratik Cumhuriyet ilanı.
Kafkasya,Gurcistan,Sovyet İşgali,Savaş/Çatışma,1921,1921,1921,1920,Kızıl Ordu işgali.
Kafkasya,Gurcistan,9 Nisan Trajedisi,Savaş/Çatışma,1989,1989,1989,1980,Tiflis'te Sovyet müdahalesi.
Kafkasya,Gurcistan,Bağımsızlık 1991,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB'den ayrılma.
Kafkasya,Gurcistan,Gül Devrimi,Devrim/Rejim Değişikliği,2003,2003,2003,2000,Shevardnadze'nin istifası.
Kafkasya,Gurcistan,Rusya Savaşı,Savaş/Çatışma,2008,2008,2008,2000,Güney Osetya savaşı.
Afrika,Guney Sudan,Bağımsızlık Referandumu,Devrim/Rejim Değişikliği,2011,2011,2011,2010,Sudan'dan ayrılma kararı.
Afrika,Guney Sudan,Bağımsızlık İlanı,Devrim/Rejim Değişikliği,2011,2011,2011,2010,Dünyanın en genç ülkesi.
Afrika,Guney Sudan,İç Savaş,Savaş/Çatışma,2013,2013,2020,2010,Kiir ve Machar güçleri arasında çatışma.
Afrika,Guney Sudan,Barış Anlaşması,Diplomasi,2018,2018,2018,2010,Savaşı bitiren anlaşma.
Afrika,Orta Afrika Cumhuriyeti,Bokassa Darbesi,Devrim/Rejim Değişikliği,1966,1966,1966,1960,Bokassa'nın yönetimi ele geçirmesi.
Afrika,Orta Afrika Cumhuriyeti,İmparatorluk İlanı,Devrim/Rejim Değişikliği,1976,1976,1976,1970,Bokassa'nın kendini imparator ilan etmesi.
Afrika,Orta Afrika Cumhuriyeti,Darbe ve Bokassa'nın Sonu,Devrim/Rejim Değişikliği,1979,1979,1979,1970,Fransız destekli darbe.
Afrika,Orta Afrika Cumhuriyeti,İç Savaş,Savaş/Çatışma,2012,2012,2012,2010,Seleka isyancılarının ilerleyişi.
Afrika,Burundi,Bağımsızlık,Devrim/Rejim Değişikliği,1962,1962,1962,1960,Belçika'dan bağımsızlık.
Afrika,Burundi,1972 Soykırımı,Savaş/Çatışma,1972,1972,1972,1970,Hutu nüfusuna yönelik katliam.
Afrika,Burundi,Pierre Nkurunziza,Önemli Lider,2005,2005,2020,2000,Uzun süreli başkanlık.
Kafkasya,Ermenistan,Bağımsızlık 1918,Devrim/Rejim Değişikliği,1918,1918,1918,1910,İlk Cumhuriyet.
Kafkasya,Ermenistan,Sovyetleşme,Devrim/Rejim Değişikliği,1920,1920,1920,1920,Bolşevik yönetimi.
Kafkasya,Ermenistan,Bağımsızlık 1991,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB'den ayrılma.
Kafkasya,Ermenistan,Kadife Devrim,Devrim/Rejim Değişikliği,2018,2018,2018,2010,Paşinyan liderliğindeki protestolar.
Afrika,Niger,Bağımsızlık,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Fransa'dan bağımsızlık.
Afrika,Niger,Uranium Patlaması,Ekonomi,1970,1970,1979,1970,Uranyum gelirleriyle ekonomik büyüme.
Afrika,Niger,Darbe 2023,Devrim/Rejim Değişikliği,2023,2023,2023,2020,Bazoum'un devrilmesi.
