region,country,event,category,year,year_start,year_end,decade,summary
Güney Amerika,Paraguay,Chaco Savaşı,Savaş/Çatışma,1932,1932,1935,1930,Bolivya ile Gran Chaco bölgesi için yapılan kanlı savaş.
Güney Amerika,Paraguay,Stroessner Diktatörlüğü,Devrim/Rejim Değişikliği,1954,1954,1989,1950,Güney Amerika'nın en uzun süreli diktatörlüğü.
Güney Amerika,Paraguay,Itaipu Barajı,Kültür & Toplum,1984,1984,1984,1980,Dünyanın en büyük hidroelektrik santrallerinden birinin açılışı.
Güney Amerika,Paraguay,Demokrasiye Geçiş,Devrim/Rejim Değişikliği,1989,1989,1989,1980,Stroessner'in devrilmesi ve serbest seçimler.
Güney Amerika,Paraguay,Paraguay İç Savaşı (1947),Savaş/Çatışma,1947,1947,1947,1940,Liberaller ve Coloradolar arasındaki çatışma.
Güney Amerika,Paraguay,Lugo'nun Azli,Devrim/Rejim Değişikliği,2012,2012,2012,2010,Başkan Fernando Lugo'nun tartışmalı görevden alınması.
Güney Amerika,Paraguay,Ycuá Bolaños Yangını,Kültür & Toplum,2004,2004,2004,2000,Asunción'da süpermarket yangınında 400 kişinin ölümü.
Güney Amerika,Paraguay,Guaraní Dilinin Resmiyet Kazanması,Kültür & Toplum,1992,1992,1992,1990,Yerli dilin İspanyolca ile eşit statüye gelmesi.
Güney Amerika,Uruguay,Maracanazo,Kültür & Toplum,1950,1950,1950,1950,Dünya Kupası finalinde Brezilya'yı yenerek şampiyon olmaları.
Güney Amerika,Uruguay,Tupamaros Gerillaları,Savaş/Çatışma,1960,1960,1972,1960,Şehir gerillası hareketinin yükselişi.
Güney Amerika,Uruguay,Askeri Diktatörlük,Devrim/Rejim Değişikliği,1973,1973,1985,1970,Parlamentonun kapatılması ve baskı dönemi.
Güney Amerika,Uruguay,Demokrasiye Dönüş,Devrim/Rejim Değişikliği,1985,1985,1985,1980,Sanguinetti'nin seçilmesiyle sivil yönetimin başlaması.
Güney Amerika,Uruguay,Ekonomik Kriz (2002),Ekonomi,2002,2002,2002,2000,Arjantin krizinin tetiklediği bankacılık çöküşü.
Güney Amerika,Uruguay,Marihuananın Yasallaşması,Kültür & Toplum,2013,2013,2013,2010,Dünyada bir ilk olarak devlet kontrolünde satışın başlaması.
Güney Amerika,Uruguay,José Mujica Dönemi,Önemli Lider,2010,2010,2015,2010,"Dünyanın en yoksul devlet başkanı"nın yönetimi.
Güney Amerika,Guyana,Bağımsızlık,Devrim/Rejim Değişikliği,1966,1966,1966,1960,Birleşik Krallık'tan ayrılış.
Güney Amerika,Guyana,Jonestown Katliamı,Kültür & Toplum,1978,1978,1978,1970,Jim Jones tarikatının toplu intiharı (900+ ölü).
Güney Amerika,Guyana,Petrol Keşfi,Ekonomi,2015,2015,2024,2010,Büyük rezervlerin bulunmasıyla ekonomik patlama.
Güney Amerika,Guyana,Venezuela Esequibo Krizi,Savaş/Çatışma,2023,2023,2024,2020,Venezuela'nın toprak talebi üzerine gerilim.
Güney Amerika,Surinam,Bağımsızlık,Devrim/Rejim Değişikliği,1975,1975,1975,1970,Hollanda'dan ayrılış.
Güney Amerika,Surinam,Askeri Darbe (Çavuşlar Darbesi),Devrim/Rejim Değişikliği,1980,1980,1980,1980,Dési Bouterse'nin iktidarı ele geçirmesi.
Güney Amerika,Surinam,İç Savaş,Savaş/Çatışma,1986,1986,1992,1980,Bouterse rejimi ve Jungle Commando arasındaki çatışma.
Asya,Kırgızistan,Lale Devrimi,Devrim/Rejim Değişikliği,2005,2005,2005,2000,Akayev'in devrilmesi.
Asya,Kırgızistan,2010 Devrimi,Devrim/Rejim Değişikliği,2010,2010,2010,2010,Bakiyev'in devrilmesi ve etnik çatışmalar.
Asya,Türkmenistan,Bağımsızlık,Devrim/Rejim Değişikliği,1991,1991,1991,1990,SSCB'den ayrılış.
Asya,Türkmenistan,Türkmenbaşı Dönemi,Önemli Lider,1991,1991,2006,1990,Niyazov'un kişilik kültü yönetimi.
Asya,Tacikistan,İç Savaş,Savaş/Çatışma,1992,1992,1997,1990,Bağımsızlık sonrası iktidar mücadelesi.
Asya,Lübnan,İç Savaş Başlangıcı,Savaş/Çatışma,1975,1975,1990,1970,15 yıl sürecek mezhepsel çatışmanın başlaması.
Asya,Lübnan,Beyrut Liman Patlaması,Kültür & Toplum,2020,2020,2020,2020,Büyük yıkıma yol açan amonyum nitrat patlaması.
Asya,Kamboçya,Kızıl Khmer Rejimi,Soykırım,1975,1975,1979,1970,Pol Pot liderliğinde 2 milyon insanın ölümü.
Afrika,Libya,Kaddafi Darbesi,Devrim/Rejim Değişikliği,1969,1969,1969,1960,Krallığın devrilmesi.
Afrika,Libya,Arap Baharı ve İç Savaş,Savaş/Çatışma,2011,2011,2011,2010,Kaddafi'nin devrilmesi ve ölümü.
Avrupa,Arnavutluk,Piramit Banker Krizi,Kültür & Toplum,1997,1997,1997,1990,Ekonomik çöküş sonrası çıkan iç karışıklık.
Avrupa,Arnavutluk,NATO Üyeliği,Devrim/Rejim Değişikliği,2009,2009,2009,2000,Batı ittifakına katılım.
Orta Amerika,Haiti,2010 Depremi,Kültür & Toplum,2010,2010,2010,2010,Başkent Port-au-Prince'i yıkan büyük felaket.
Orta Amerika,Haiti,Moïse Suikasti,Terör Saldırısı,2021,2021,2021,2020,Devlet başkanının evinde öldürülmesi.
Asya,Nepal,Maocu İç Savaş,Savaş/Çatışma,1996,1996,2006,1990,Monarşinin sonunu getiren çatışma.
Asya,Nepal,Cumhuriyetin İlanı,Devrim/Rejim Değişikliği,2008,2008,2008,2000,240 yıllık krallığın lağvedilmesi.
Afrika,Somali,Siad Barre'nin Devrilmesi,Savaş/Çatışma,1991,1991,1991,1990,Merkezi hükümetin çöküşü ve iç savaşın derinleşmesi.
Afrika,Somali,Mogadişu Savaşı (Black Hawk Down),Savaş/Çatışma,1993,1993,1993,1990,ABD güçleri ve milisler arasındaki çatışma.
