region,country,event,category,year,year_start,year_end,decade,summary
Asya,Moğolistan,Moğol Devrimi,Devrim/Rejim Değişikliği,1921,1921,1921,1920,Çin işgalinin sonu ve bağımsız modern devletin kuruluşu.
Asya,Moğolistan,BM Üyeliği,Devrim/Rejim Değişikliği,1961,1961,1961,1960,Uluslararası tanınırlığın pekişmesi.
Asya,Moğolistan,Komünist Rejimin Sonu,Devrim/Rejim Değişikliği,1990,1990,1990,1990,Tek parti iktidarının kansız devrimle sona ermesi.
Asya,Moğolistan,Erdenet Madeni,Ekonomi,1978,1978,2024,1970,Asya'nın en büyük bakır madenlerinden birinin açılışı.
Asya,Moğolistan,Cengiz Han Havalimanı,Kültür & Toplum,2021,2021,2021,2020,Yeni uluslararası havalimanının açılışı.
Asya,Moğolistan,Papa Ziyareti,Kültür & Toplum,2023,2023,2023,2020,Papa Francis'in tarihi ziyareti.
Asya,Moğolistan,Kömür Protestoları,Devrim/Rejim Değişikliği,2022,2022,2022,2020,Yolsuzluk iddiaları nedeniyle başkentte büyük gösteriler.
Asya,Moğolistan,İlk Uydu (MongolZat-1),Kültür & Toplum,2017,2017,2017,2010,Uzay çağına giriş.
Asya,Moğolistan,Rusya-Çin Doğalgaz Boru Hattı,Ekonomi,2019,2019,2024,2010,Transit ülke olarak stratejik önem kazanması.
Asya,Moğolistan,Demokratik Anayasa,Devrim/Rejim Değişikliği,1992,1992,1992,1990,Çok partili sisteme geçişin anayasal zemini.
Okyanusya,Papua Yeni Gine,Bağımsızlık,Devrim/Rejim Değişikliği,1975,1975,1975,1970,Avustralya yönetiminden barışçıl ayrılma.
Okyanusya,Papua Yeni Gine,Bougainville İç Savaşı,Savaş/Çatışma,1988,1988,1998,1980,Bakır madeni kaynaklı ayrılıkçı isyan.
Okyanusya,Papua Yeni Gine,Bougainville Barış Anlaşması,Devrim/Rejim Değişikliği,2001,2001,2001,2000,Özerklik ve bağımsızlık referandumu sözü.
Okyanusya,Papua Yeni Gine,2019 Bağımsızlık Referandumu,Devrim/Rejim Değişikliği,2019,2019,2019,2010,Bougainville halkının %98 oyla bağımsızlığı seçmesi.
Okyanusya,Papua Yeni Gine,APEC Zirvesi,Devrim/Rejim Değişikliği,2018,2018,2018,2010,Port Moresby'de küresel liderlerin ağırlanması (Maserati skandalı).
Okyanusya,Papua Yeni Gine,Enga Toprak Kayması,Kültür & Toplum,2024,2024,2024,2020,Yüzlerce kişinin öldüğü büyük doğal afet.
Okyanusya,Papua Yeni Gine,Kabile Çatışmaları (Highlands),Savaş/Çatışma,2023,2023,2024,2020,Modern silahlarla artan kabile şiddeti.
Okyanusya,Papua Yeni Gine,ABD Savunma Anlaşması,Savaş/Çatışma,2023,2023,2023,2020,Pasifik jeopolitiğinde ABD ile yakınlaşma.
Okyanusya,Papua Yeni Gine,Marape Hükümeti,Önemli Lider,2019,2019,2024,2010,James Marape'nin başbakanlığı ve "En zengin siyah Hıristiyan ulus" vizyonu.
Okyanusya,Papua Yeni Gine,Sandline Olayı,Savaş/Çatışma,1997,1997,1997,1990,Paralı asker kullanımına karşı ordunun isyanı.
Okyanusya,Yeni Zelanda,Waitangi Günü Resmi Tatili,Kültür & Toplum,1974,1974,1974,1970,Kurucu antlaşma gününün ulusal bayram olması.
Okyanusya,Yeni Zelanda,Nükleersiz Bölge İlanı,Savaş/Çatışma,1987,1987,1987,1980,ABD donanmasının limanlara girişinin yasaklanması.
Okyanusya,Yeni Zelanda,Rainbow Warrior Batırılması,Terör Saldırısı,1985,1985,1985,1980,Fransız istihbaratının Greenpeace gemisine saldırısı.
Okyanusya,Yeni Zelanda,Yüzüklerin Efendisi Çekimleri,Kültür & Toplum,2001,2001,2003,2000,Ülke turizmini dönüştüren film serisi.
Okyanusya,Yeni Zelanda,Christchurch Depremi,Kültür & Toplum,2011,2011,2011,2010,Büyük yıkım ve can kaybı.
