region,country,event,category,year,year_start,year_end,decade,summary
Arap Dünyası,Birleşik Arap Emirlikleri,Federasyonun kurulması,Devrim/Rejim Değişikliği,1971,1971,1971.0,1970,1971’de emirliklerin federasyonu kuruldu; Körfez’de yeni bir devlet aktörü doğdu.
Arap Dünyası,Birleşik Arap Emirlikleri,Körfez Savaşı’nda koalisyon çizgisi,Savaş/Çatışma,1990–1991,1990,1991.0,1990,"1990–91 döneminde Körfez güvenliği, BAE’nin savunma-diplomasi çizgisini ABD ve GCC ile hizaladı."
Arap Dünyası,Birleşik Arap Emirlikleri,Yemen savaşına aktif katılım,Savaş/Çatışma,2015,2015,,2010,"2015 sonrası Yemen’de askeri varlık, BAE’nin bölgesel güç projeksiyonunu artırdı."
Arap Dünyası,Birleşik Arap Emirlikleri,Abraham Accords: İsrail ile normalleşme,Devrim/Rejim Değişikliği,2020,2020,2020.0,2020,"2020 normalleşmesi, Körfez’in İsrail ve ABD ile bölgesel düzen tasarımında yeni bir sayfa açtı."
Arap Dünyası,Cezayir,Bağımsızlık Savaşı,Savaş/Çatışma,1954–1962,1954,1962.0,1950,"1954–62 bağımsızlık savaşı, modern Cezayir devletinin kurucu travması ve meşruiyet kaynağı oldu."
Arap Dünyası,Cezayir,Seçim iptali ve iç savaş (Kara On Yıl),Savaş/Çatışma,1991–2002,1991,2002.0,1990,"1990’larda seçim iptali sonrası iç savaş, on binlerce can kaybı ve güvenlikçi devletin pekişmesiyle sonuçlandı."
Arap Dünyası,Cezayir,Hirak protestoları ve Buteflika’nın istifası,Devrim/Rejim Değişikliği,2019,2019,2019.0,2010,"2019’da Hirak, yönetim değişimi ve sistem reformu tartışmalarını yeniden gündeme taşıdı."
Arap Dünyası,Fas,Bağımsızlık,Devrim/Rejim Değişikliği,1956,1956,1956.0,1950,"1956’da bağımsızlık, modern Fas monarşisinin konsolidasyonu için kritik eşiktir."
Arap Dünyası,Fas,Yeşil Yürüyüş ve Batı Sahra uyuşmazlığı,Savaş/Çatışma,1975,1975,,1970,"1975’te Yeşil Yürüyüş, Batı Sahra çatışmasının başlangıç momentlerinden biridir; konu günümüze kadar sürer."
Arap Dünyası,Fas,2020 normalleşme ve ABD’nin Batı Sahra pozisyonu,Devrim/Rejim Değişikliği,2020,2020,2020.0,2020,"2020’de İsrail ile normalleşme, Batı Sahra dosyasıyla bağlantılı jeopolitik pazarlıklar tartışmasını artırdı."
Arap Dünyası,Irak,Haşimi monarşisinin devrilmesi (14 Temmuz Devrimi),Devrim/Rejim Değişikliği,1958,1958,1958.0,1950,1958’de darbe ile monarşi devrildi; cumhuriyet ve sık darbeler dönemi başladı.
Arap Dünyası,Irak,İran-Irak Savaşı,Savaş/Çatışma,1980–1988,1980,1988.0,1980,"1980–88 savaşı, bölgesel güç dengelerini ve Irak’ın devlet kapasitesini yıpratan bir yıkım yarattı."
Arap Dünyası,Irak,Enfal Harekâtı (Kürt nüfusa yönelik kitlesel saldırılar),Soykırım,1988,1988,1988.0,1980,1988’de Enfal kapsamında Kürt nüfusa yönelik kitlesel saldırılar gerçekleşti; soykırım olarak nitelendirilen tartışmalı/critik bir vakadır.
Arap Dünyası,Irak,Kuveyt’in işgali ve Körfez Savaşı,Savaş/Çatışma,1990–1991,1990,1991.0,1990,"1990 işgali ve 1991 savaş, Irak’ı ağır yaptırımlar ve uzun süreli stratejik izolasyona sürükledi."
