region,country,event,category,year,year_start,year_end,decade,summary
Ortadoğu,İsrail,İsrail'in Bağımsızlık İlanı,Devrim/Rejim Değişikliği,1948,1948,1948,1940,14 Mayıs 1948'de David Ben-Gurion tarafından İsrail Devleti'nin kuruluşu ilan edildi.
Ortadoğu,İsrail,1948 Arap-İsrail Savaşı,Savaş/Çatışma,1948,1948,1949,1940,Bağımsızlık ilanının hemen ardından çevre Arap ülkeleriyle yaşanan ilk kapsamlı savaş.
Ortadoğu,İsrail,Süveyş Krizi,Savaş/Çatışma,1956,1956,1956,1950,İngiltere ve Fransa ile birlikte Mısır'a karşı yürütülen askeri harekat.
Ortadoğu,İsrail,Altı Gün Savaşı,Savaş/Çatışma,1967,1967,1967,1960,"İsrail'in Mısır, Ürdün ve Suriye'ye karşı ani saldırısıyla Sina, Batı Şeria ve Golan Tepeleri'ni ele geçirdiği savaş."
Ortadoğu,İsrail,Yom Kippur Savaşı,Savaş/Çatışma,1973,1973,1973,1970,Mısır ve Suriye'nin İsrail'e sürpriz saldırısıyla başlayan ve Ortadoğu dengelerini değiştiren savaş.
Ortadoğu,İsrail,Enver Sedat'ın Kudüs Ziyareti,Devrim/Rejim Değişikliği,1977,1977,1977,1970,Mısır Cumhurbaşkanı'nın tarihi ziyareti barış sürecinin yolunu açtı.
Ortadoğu,İsrail,Mısır-İsrail Barış Antlaşması,Devrim/Rejim Değişikliği,1979,1979,1979,1970,Camp David görüşmeleri sonucunda imzalanan, bir Arap ülkesiyle yapılan ilk barış antlaşması.
Ortadoğu,İsrail,Birinci Lübnan Savaşı,Savaş/Çatışma,1982,1982,1982,1980,"FKÖ'yü Lübnan'dan çıkarmak amacıyla başlatılan, Güney Lübnan'ın işgaliyle sonuçlanan harekat."
Ortadoğu,İsrail,Birinci İntifada,Savaş/Çatışma,1987,1987,1993,1980,Filistin halkının İsrail işgaline karşı başlattığı kitlesel ayaklanma.
Ortadoğu,İsrail,Oslo Anlaşmaları,Devrim/Rejim Değişikliği,1993,1993,1993,1990,FKÖ ile İsrail arasında karşılıklı tanıma ve barış sürecini başlatan tarihi anlaşma.
Ortadoğu,İsrail,İzak Rabin Suikastı,Terör Saldırısı,1995,1995,1995,1990,Barış sürecini yürüten Başbakan Rabin'in aşırılıkçı bir İsrailli tarafından öldürülmesi.
Ortadoğu,İsrail,İkinci İntifada,Savaş/Çatışma,2000,2000,2005,2000,Camp David görüşmelerinin başarısızlığı sonrası başlayan ikinci büyük Filistin ayaklanması.
Ortadoğu,İsrail,Gazze'den Çekilme,Devrim/Rejim Değişikliği,2005,2005,2005,2000,İsrail'in Gazze Şeridi'ndeki yerleşimleri ve askeri varlığını tek taraflı olarak boşaltması.
Ortadoğu,İsrail,İkinci Lübnan Savaşı,Savaş/Çatışma,2006,2006,2006,2000,Hizbullah ile İsrail arasında 34 gün süren çatışma.
Ortadoğu,İsrail,7 Ekim Saldırıları ve Gazze Savaşı,Savaş/Çatışma,2023,2023,2024,2020,Hamas'ın büyük çaplı saldırısı sonrası İsrail'in Gazze'ye yönelik başlattığı kapsamlı askeri harekat.
