"region","country","event_title","year_start","year_end","decade","category","description_tr"
"Africa","Algeria","Cezayir Bağımsızlık Savaşı","1954","1962","1950s","Savas/Catisma","FLN öncülüğündeki bağımsızlık savaşı, Cezayir’i Fransa’ya karşı uzun ve yıkıcı bir çatışmaya sürükledi. Şehir gerillası, köy boşaltmaları ve sert karşı operasyonlar, hem Cezayir hem Fransa siyasetinde derin izler bıraktı.

1962’de bağımsızlıkla sonuçlanan savaş, sömürgesizleşme dalgasının en kanlı örneklerinden biri olarak anılır. Cezayir’de ordu ve devrimci meşruiyet, sonraki siyasal düzenin temel dayanağı haline geldi."
"Africa","Algeria","1965 Boumediene Darbesi","1965","1965","1960s","Devrim/Rejim Degisikligi","1965’te Savunma Bakanı Houari Boumediene’nin darbesi, bağımsızlık sonrası Cezayir’de iktidarın ordu-merkezli biçimde konsolide olduğunu gösterdi. Devrimci meşruiyet söylemi korunurken siyasal alan daraltıldı.

Boumediene dönemi, sanayileşme ve devletçilik politikalarıyla anılsa da tek parti düzeni güçlendi. Bu miras, Cezayir’de “ordu ve devlet” ilişkisinin uzun vadeli belirleyicilerinden biri oldu."
"Africa","Algeria","1990'lar İç Savaşı (Kara On Yıl)","1991","2002","1990s","Savas/Catisma","1991 seçimlerinin iptali sonrası İslamcı gruplar ile devlet arasında patlayan çatışma, 1990’larda “Kara On Yıl” diye anılan iç savaşa dönüştü. Katliamlar, köy baskınları ve şehirlerde bombalı saldırılar binlerce can aldı.

Savaş, toplumda büyük bir travma ve siyasal kapanma yarattı. 2000’lerde kısmi normalleşme görülse de güvenlik-devlet refleksleri ve siyasal alanın darlığı bu mirasın uzantısı olarak sürdü."
"Africa","Algeria","2019 Hirak Protestoları","2019","2019","2010s","Devrim/Rejim Degisikligi","2019’da milyonlarca Cezayirli “Hirak” protestolarıyla uzun süreli iktidar yapısına karşı sokağa çıktı. Gösteriler, Abdülaziz Buteflika’nın beşinci dönem adaylığına itirazla başladı ve daha geniş bir sistem eleştirisine dönüştü.

Hareket, rejimin “yumuşak” kadro değişimleriyle krizi yönetmeye çalıştığını gösterdi; ancak demokratikleşme beklentileriyle güvenlik-devlet refleksleri arasındaki gerilim sürdü. Hirak, Cezayir’de toplumsal mobilizasyonun yeni sembolü oldu."
"Africa","Angola","1975 Bağımsızlık ve İç Savaşın Başlangıcı","1975","1975","1970s","Devrim/Rejim Degisikligi","Angola 1975’te Portekiz’den bağımsızlığını ilan etti; ancak iktidar paylaşımı anlaşmazlığı anında iç savaşa dönüştü. Soğuk Savaş koşullarında dış destekler, çatışmayı hızla uluslararasılaştırdı.

Bağımsızlık, Angola’nın “kurucu anı” olsa da devletin daha ilk günden savaş ekonomisine sıkışmasına yol açtı. Sonraki on yıllar, kaynak gelirlerinin güvenlik ve patronaj için kullanılmasının yarattığı kalıcı sorunlarla geçti."
"Africa","Angola","Angola İç Savaşı","1975","2002","1970s","Savas/Catisma","1975’te bağımsızlığın hemen ardından MPLA, UNITA ve FNLA arasında başlayan iç savaş, dış güçlerin de dahil olmasıyla uzun bir vekâlet savaşına dönüştü. Petrol ve elmas gelirleri, savaş ekonomisini besledi.

2002’de Jonas Savimbi’nin ölümüyle savaş sona erdi ve Angola yeniden inşa sürecine girdi. Ancak kaynak bağımlılığı ve yönetim sorunları, barış sonrası kalkınmanın önündeki temel engeller olarak kaldı."
"Africa","Burkina Faso","2014 Halk Ayaklanması ve Sonraki Darbeler","2014","2022","2010s","Devrim/Rejim Degisikligi","2014’te Blaise Compaoré’nin iktidarı uzatma girişimine karşı başlayan protestolar, yönetimin devrilmesiyle sonuçlandı. Bu, “sivil mobilizasyon”un otoriter rejimi gerilettiği güçlü bir örnek oldu.

Ancak 2022’de art arda darbeler, güvenlik krizinin (Sahel cihatçı şiddeti) siyaseti nasıl belirlediğini gösterdi. Burkina Faso, devletin kırsalda otorite kurmakta zorlandığı bir güvenlik sarmalına girdi."
"Africa","Burundi","2015 Krizi ve Siyasal Şiddet","2015","2017","2010s","Savas/Catisma","2015’te üçüncü dönem tartışmaları ve başarısız darbe girişimi, Burundi’de şiddet, baskı ve göç dalgası üretti. Siyasi alan daralırken, güvenlik kurumları üzerindeki kontrol tartışmaları yoğunlaştı.

Kriz, Ruanda ve DRC gibi komşulara mülteci akınını artırdı ve Büyük Göller bölgesinin kırılganlığını yeniden gündeme taşıdı. Burundi, “anayasal sınırlar”ın aşınmasının güvenlik krizine dönüşebileceğinin örneği oldu."
"Africa","Cameroon","Boko Haram’ın Kamerun’a Yayılması","2014","2020","2010s","Teror Saldirisi","Boko Haram’ın Nijerya sınırından Kamerun’un Uzak Kuzey bölgesine taşması, 2010’ların ortasında yeni bir güvenlik cephesi açtı. Köy baskınları, intihar saldırıları ve kaçırmalar sınır bölgesinde hayatı felç etti.

Kamerun, çoklu kriz yönetmek zorunda kaldı: hem Boko Haram tehdidi hem Anglophone krizi aynı dönemde büyüdü. Bu, devlet kaynaklarını bölerek güvenlik ve yönetişim sorunlarını ağırlaştırdı."
"Africa","Cameroon","Anglophone Krizi","2016","2024","2010s","Savas/Catisma","Kamerun’un İngilizce konuşulan bölgelerinde 2016’da başlayan protestolar, kısa sürede ayrılıkçı silahlı hareket ve devletle çatışmaya dönüştü. Eğitim ve hukuk sistemindeki eşitsizlik iddiaları, kimlik siyasetiyle birleşerek şiddeti tırmandırdı.

Kriz, ülkenin federalizm/merkezileşme tartışmalarını canlandırdı ve insani yerinden edilmeyi artırdı. Uzayan çatışma, Kamerun’un istikrarını ve bölgesel güvenlik işbirliğini zorlayan bir başlık haline geldi."
