"region","country","event_title","year_start","year_end","decade","category","description_tr"
"Central Europe","Austria","1918 Cumhuriyet: İmparatorluğun Dağılması","1918","1920","1910s","Devrim/Rejim Degisikligi","Avusturya-Macaristan’ın çöküşüyle Avusturya 1918’de cumhuriyet oldu. Büyük bir imparatorluktan küçük bir devlete dönüş, ekonomi, kimlik ve güvenlik açısından derin bir “ölçek şoku” yarattı.

İki savaş arası dönemde siyasi kutuplaşma ve paramiliter şiddet arttı. Bu kırılganlık, 1930’ların otoriterleşmesine ve dış baskılara açık bir zemini beraberinde getirdi."
"Central Europe","Austria","1934 İç Çatışma ve Austrofaşizm","1934","1934","1930s","Savas/Catisma","1934’te sosyal demokratlarla hükümet güçleri arasında kısa ama kanlı çatışmalar yaşandı; bu olay, Avusturya’da parlamenter düzenin çöküşünü hızlandırdı. Ardından otoriter “Austrofaşist” yönetim kurumsallaştı.

Bu dönem, ülkeyi Almanya ile artan gerilim ve baskı arasında sıkıştırdı. Demokratik alanın daralması, Avusturya’nın 1938’deki ilhaka karşı direncini zayıflatan faktörlerden biri oldu."
"Central Europe","Austria","1938 Anschluss: Nazi Almanyası’na İlhak","1938","1938","1930s","Devrim/Rejim Degisikligi","1938’de Avusturya’nın Almanya’ya ilhakı (Anschluss), ülkenin bağımsızlığını sona erdirdi ve Nazi düzenine entegrasyonunu başlattı. Bu, Avusturya toplumunda işbirliği, mağduriyet ve sorumluluk tartışmalarını uzun süre taşıyan bir travma yarattı.

Savaş sonrası Avusturya, “ilk kurban” anlatısıyla yeniden inşa edilirken, geçmişle yüzleşme daha geç ve sancılı ilerledi. Anschluss, Orta Avrupa’da büyük güç baskısının en dramatik örneklerinden biri olarak anılır."
"Central Europe","Austria","1955 Devlet Antlaşması ve Tarafsızlık","1955","1955","1950s","Devrim/Rejim Degisikligi","1955 Avusturya Devlet Antlaşması, işgalin sona ermesini ve ülkenin egemenliğinin geri gelmesini sağladı. Avusturya aynı yıl “kalıcı tarafsızlık” ilan ederek Soğuk Savaşta iki blok arasında özel bir konum benimsedi.

Tarafsızlık, ülkeye diplomatik manevra alanı ve istikrar getirdi. Viyana’nın uluslararası örgütler ve müzakere süreçleri için merkez haline gelmesi de bu statünün jeopolitik çıktılarından biri oldu."
"Central Europe","Austria","1995 AB Üyeliği","1995","1995","1990s","Devrim/Rejim Degisikligi","1995’te AB’ye katılım, Avusturya’nın ekonomik entegrasyonunu derinleştirirken tarafsızlık politikasını da yeni bir çerçevede yorumlamasına yol açtı. İç piyasada rekabet ve standartlar, sanayi ve hizmet sektörlerinde dönüşüm yarattı.

AB üyeliği, Avusturya’yı Orta Avrupa genişlemesinin “köprü ülkesi” konumuna taşıdı. Göç, sınır ve enerji gibi başlıklarda Viyana, hem ulusal hem Avrupa düzeyinde daha görünür bir rol üstlendi."
"Central Europe","Czech Republic","1918 Çekoslovakya’nın Kuruluşu","1918","1918","1910s","Devrim/Rejim Degisikligi","Avusturya-Macaristan’ın dağılmasıyla 1918’de Çekoslovakya kuruldu ve Orta Avrupa’da yeni bir devlet ortaya çıktı. Çok uluslu yapı ve sınırların karmaşıklığı, daha ilk günden azınlık politikalarını ve güvenlik kaygılarını gündeme taşıdı.

İki savaş arası dönemde Çekoslovakya, bölgenin görece demokratik ve sanayileşmiş ülkelerinden biri olarak öne çıktı. Ancak Almanya’nın yükselişi ve etnik gerilimler, bu istikrarı kısa sürede aşındırdı."
"Central Europe","Czech Republic","1938 Münih Anlaşması ve Sudet Krizi","1938","1939","1930s","Savas/Catisma","1938 Münih Anlaşması ile Sudet bölgesinin Almanya’ya bırakılması, Çekoslovakya’nın güvenlik düzenini çökerterek devletin parçalanmasına giden yolu açtı. “Bizi masada sattılar” algısı, bölge siyasetinde uzun süreli bir travma yarattı.

1939’da Nazi işgaliyle devlet fiilen ortadan kalktı. Bu dönem, Orta Avrupa’da büyük güçlerin “garanti”lerinin ne kadar kırılgan olabileceğini acı biçimde gösterdi."
"Central Europe","Czech Republic","1948 Komünist Darbe ve Sovyet Bloku","1948","1948","1940s","Devrim/Rejim Degisikligi","1948’de komünistlerin iktidarı ele geçirmesiyle Çekoslovakya Sovyet etki alanında kesin biçimde konumlandı. Siyasi muhalefet tasfiye edildi ve ekonomi merkezi planlamaya geçirildi.

Bu dönüşüm, toplumda kontrol/sansür rejimi ve güvenlik aygıtının güçlenmesi anlamına geldi. Soğuk Savaş boyunca ülke, Varşova Paktı’nın sanayi ve askeri altyapı açısından önemli bileşenlerinden biri oldu."
"Central Europe","Czech Republic","1968 Prag Baharı ve Varşova Paktı Müdahalesi","1968","1968","1960s","Savas/Catisma","1968’de Dubček liderliğinde “insan yüzlü sosyalizm” reformları, ifade özgürlüğü ve ekonomik açılımlar vaat etti. Ancak Varşova Paktı’nın askeri müdahalesi, reform sürecini ezerek “normalleşme” dönemini başlattı.

Prag Baharı’nın bastırılması, Doğu Bloku’nda reformun sınırlarını gösteren en sembolik olaylardan biri oldu. Bu kırılma, muhalefetin yer altına çekilmesine ve toplumda uzun süreli bir siyasal apatiye yol açtı."
"Central Europe","Czech Republic","1989 Kadife Devrim","1989","1989","1980s","Devrim/Rejim Degisikligi","1989’da barışçıl gösteriler ve grevler, komünist yönetimin hızla çözülmesine yol açtı. Václav Havel’in öne çıktığı Kadife Devrim, şiddetsiz rejim değişiminin ikonik örneklerinden biri oldu.

Devrim, piyasa ekonomisine geçiş ve Batı kurumlarıyla entegrasyonu hızlandırdı. Aynı zamanda toplumda “geçiş maliyeti”, özelleştirme ve kimlik tartışmalarını da beraberinde getirdi."
