region,country,event,category,year,year_start,year_end,decade,summary
Avrupa,Avusturya,Avusturya-Macaristan İmparatorluğu'nun Çöküşü,Devrim/Rejim Değişikliği,1918,1918,1918,1910,I. Dünya Savaşı sonunda imparatorluk dağıldı ve Birinci Avusturya Cumhuriyeti kuruldu.
Avrupa,Avusturya,Saint-Germain Antlaşması,Devrim/Rejim Değişikliği,1919,1919,1919,1910,Modern Avusturya sınırlarını belirleyen ve Almanya ile birleşmeyi yasaklayan barış antlaşması.
Avrupa,Avusturya,Anschluss (Nazi İlhagı),Savaş/Çatışma,1938,1938,1938,1930,Nazi Almanyası'nın Avusturya'yı ilhak etmesiyle bağımsız devlet varlığı sona erdi.
Avrupa,Avusturya,II. Dünya Savaşı Müttefik İşgali,Savaş/Çatışma,1945,1945,1955,1940,Savaş sonrası ülke dört müttefik güç tarafından bölgelere ayrılarak işgal edildi.
Avrupa,Avusturya,Avusturya Devlet Antlaşması,Devrim/Rejim Değişikliği,1955,1955,1955,1950,İşgal sona erdi ve Avusturya tam bağımsızlığını "daimi tarafsızlık" şartıyla kazandı.
Avrupa,Avusturya,BM Üyeliği,Devrim/Rejim Değişikliği,1955,1955,1955,1950,Bağımsızlık sonrası Birleşmiş Milletler'e katılarak uluslararası diplomatik merkeze dönüştü.
Avrupa,Avusturya,Bruno Kreisky Dönemi,Önemli Lider,1970,1970,1983,1970,Modern sosyal refah devletinin inşası ve aktif tarafsızlık diplomasisi dönemi.
Avrupa,Avusturya,OPEC Rehine Krizi,Terör Saldırısı,1975,1975,1975,1970,Çakal Carlos liderliğindeki grubun Viyana'daki OPEC toplantısını basması.
Avrupa,Avusturya,Viyana Uluslararası Merkezi'nin Açılışı,Devrim/Rejim Değişikliği,1979,1979,1979,1970,Viyana'nın BM'nin üçüncü merkezi haline gelmesi.
Avrupa,Avusturya,Zwentendorf Nükleer Referandumu,Kültür & Toplum,1978,1978,1978,1970,Halk oylamasıyla nükleer enerjinin reddedilmesi ve tamamlanmış santralin hiç açılmaması.
Avrupa,Avusturya,Kurt Waldheim Tartışması,Devrim/Rejim Değişikliği,1986,1986,1986,1980,Cumhurbaşkanının Nazi geçmişi iddiaları nedeniyle uluslararası izolasyon dönemi.
Avrupa,Avusturya,AB Üyeliği,Devrim/Rejim Değişikliği,1995,1995,1995,1990,Referandum sonrası Avrupa Birliği'ne tam üyelik.
Avrupa,Avusturya,Haider ve FPÖ Koalisyonu Krizi,Devrim/Rejim Değişikliği,2000,2000,2000,2000,Aşırı sağın hükümete girmesi nedeniyle AB'nin diplomatik yaptırımları.
Avrupa,Avusturya,Viyana Saldırısı,Terör Saldırısı,2020,2020,2020,2020,Şehir merkezinde IŞİD sempatizanı tarafından gerçekleştirilen silahlı saldırı.
Avrupa,Avusturya,Ibiza Skandalı,Devrim/Rejim Değişikliği,2019,2019,2019,2010,Başbakan yardımcısını istifaya ve hükümeti düşmeye götüren yolsuzluk videosu.
Avrupa,Avusturya,Conchita Wurst Eurovision Zaferi,Kültür & Toplum,2014,2014,2014,2010,LGBT hakları ve Avrupa kültürü açısından sembolik öneme sahip zafer.
Avrupa,Avusturya,Daimi Tarafsızlık Tartışmaları,Devrim/Rejim Değişikliği,2022,2022,2024,2020,Ukrayna savaşı sonrası güvenlik politikasının sorgulanması ancak NATO'ya mesafeli duruş.
Avrupa,Avusturya,Klimaticket Uygulaması,Kültür & Toplum,2021,2021,2021,2020,Ülke genelinde toplu taşımayı teşvik eden öncü çevre politikası.
Avrupa,Avusturya,Alpler'de İklim Değişikliği Etkisi,Kültür & Toplum,2023,2023,2023,2020,Buzulların erimesi ve kayak turizminin geleceği üzerine ulusal kriz tartışmaları.
Avrupa,Avusturya,Enerji Bağımsızlığı Krizi,Devrim/Rejim Değişikliği,2022,2022,2023,2020,Rus gazına bağımlılıktan kurtulma çabaları ve ekonomik etkileri.
Avrupa,Hollanda,Tarafsızlık Politikası ve I. Dünya Savaşı,Devrim/Rejim Değişikliği,1914,1914,1918,1910,Büyük Savaş boyunca tarafsız kalarak çatışmaların dışında kalmayı başardı.
Avrupa,Hollanda,Nazi İşgali ve Rotterdam bombardımanı,Savaş/Çatışma,1940,1940,1945,1940,Alman işgali, kraliçenin sürgüne gidişi ve Yahudi nüfusun büyük kısmının kaybı.
Avrupa,Hollanda,Açlık Kışı (Hongerwinter),Savaş/Çatışma,1944,1944,1945,1940,İşgal altındaki batı illerinde yaşanan büyük kıtlık felaketi.
Avrupa,Hollanda,Endonezya Bağımsızlık Savaşı,Savaş/Çatışma,1945,1945,1949,1940,Sömürge imparatorluğunun en büyük parçasının kaybı ve dekolonizasyon travması.
Avrupa,Hollanda,Sel Felaketi (Watersnoodramp),Kültür & Toplum,1953,1953,1953,1950,Binlerce kişinin öldüğü felaket sonrası Delta Projesi ile ülkenin denizden korunması.
Avrupa,Hollanda,AET Kurucu Üyeliği,Devrim/Rejim Değişikliği,1957,1957,1957,1950,Roma Antlaşması ile Avrupa entegrasyonunun öncülerinden biri oldu.
Avrupa,Hollanda,Groningen Doğalgaz Keşfi,Devrim/Rejim Değişikliği,1959,1959,1959,1950,Avrupa'nın en büyük gaz sahasının keşfi ve Hollanda Hastalığı ekonomik fenomeni.
Avrupa,Hollanda,Kraliçe Beatrix'in Tahta Çıkışı,Devrim/Rejim Değişikliği,1980,1980,1980,1980,Amsterdam'daki taç giyme töreninde büyük konut isyanları ve protestolar.
Avrupa,Hollanda,Maastricht Antlaşması,Devrim/Rejim Değişikliği,1992,1992,1992,1990,Avrupa Birliği'nin ve Euro'nun temellerinin atıldığı tarihi zirve.
Avrupa,Hollanda,Srebrenitsa Katliamı Sorumluluğu,Savaş/Çatışma,1995,1995,1995,1990,Hollandalı BM askerlerinin korumasındaki bölgede yaşanan soykırım ve hükümet istifası.
Avrupa,Hollanda,Eşcinsel Evliliğin Yasallaşması,Kültür & Toplum,2001,2001,2001,2000,Dünyada eşcinsel evliliği yasallaştıran ilk ülke oldu.
Avrupa,Hollanda,Euro'ya Geçiş,Devrim/Rejim Değişikliği,2002,2002,2002,2000,Ulusal para birimi Gulden'in yerini Euro'nun alması.
Avrupa,Hollanda,Pim Fortuyn Suikastı,Terör Saldırısı,2002,2002,2002,2000,Seçimler öncesi popülist liderin öldürülmesiyle siyasi iklimin değişmesi.
Avrupa,Hollanda,Theo van Gogh Suikastı,Terör Saldırısı,2004,2004,2004,2000,Yönetmenin radikal İslamcı tarafından öldürülmesi ve ifade özgürlüğü tartışmaları.
Avrupa,Hollanda,MH17 Uçağının Düşürülmesi,Terör Saldırısı,2014,2014,2014,2010,Ukrayna üzerinde düşürülen uçakta çok sayıda Hollanda vatandaşının ölümü.
Avrupa,Hollanda,Mark Rutte Dönemi,Önemli Lider,2010,2010,2024,2010,Uzun süreli liberal koalisyonlar ve AB içinde tasarruf yanlısı politikalar.
Avrupa,Hollanda,Çiftçi Protestoları,Devrim/Rejim Değişikliği,2019,2019,2023,2020,Azot emisyonu düzenlemelerine karşı başlayan ve siyasileşen büyük eylemler.
Avrupa,Hollanda,ASML ve Teknoloji Hakimiyeti,Kültür & Toplum,2020,2020,2024,2020,Küresel çip üretimindeki kritik rolüyle jeopolitik öneminin artması.
Avrupa,Hollanda,Kölelik Geçmişi İçin Özür,Kültür & Toplum,2022,2022,2022,2020,Başbakanın ülkenin sömürgeci geçmişi ve köle ticareti rolü için resmen özür dilemesi.
Avrupa,Belçika,I. Dünya Savaşı İşgali (Belçika'ya Tecavüz),Savaş/Çatışma,1914,1914,1918,1910,Alman işgali ve uluslararası hukukun ihlali; Yser Cephesi direnişi.
Avrupa,Belçika,II. Dünya Savaşı ve 18 Gün Seferi,Savaş/Çatışma,1940,1940,1945,1940,Yeniden Alman işgali, Kral III. Leopold'un teslim olması ve kraliyet sorunu.
Avrupa,Belçika,Benelüks Birliği,Devrim/Rejim Değişikliği,1944,1944,1944,1940,Hollanda ve Lüksemburg ile gümrük birliği; AB'nin habercisi.
Avrupa,Belçika,Kraliyet Sorunu Referandumu,Devrim/Rejim Değişikliği,1950,1950,1950,1950,Kralın dönüşü üzerine yaşanan gerilim ve tahttan feragat etmesi.
Avrupa,Belçika,Kongo Bağımsızlığı ve Krizi,Devrim/Rejim Değişikliği,1960,1960,1960,1960,Sömürge yönetiminin kaotik sonu ve Patrice Lumumba suikastı.
Avrupa,Belçika,Dil Sınırının Çizilmesi,Kültür & Toplum,1962,1962,1963,1960,Ülkeyi Flaman ve Valon bölgelerine ayıran yasal dil sınırının belirlenmesi.
Avrupa,Belçika,NATO Merkezinin Brüksel'e Taşınması,Devrim/Rejim Değişikliği,1967,1967,1967,1960,Fransa'nın askeri kanattan çıkmasıyla Brüksel'in Batı'nın başkenti olması.
Avrupa,Belçika,Birinci Devlet Reformu,Devrim/Rejim Değişikliği,1970,1970,1970,1970,Üniter yapıdan federal yapıya geçiş sürecinin başlaması.
Avrupa,Belçika,Heysel Faciası,Kültür & Toplum,1985,1985,1985,1980,Brüksel'deki stadyum faciası ve holiganizmle mücadele dönemi.
Avrupa,Belçika,Marc Dutroux Skandalı,Kültür & Toplum,1996,1996,1996,1990,Çocuk istismarı skandalı ve Beyaz Yürüyüş ile adalet sistemi reformu talebi.
Avrupa,Belçika,Euro'ya Geçiş,Devrim/Rejim Değişikliği,2002,2002,2002,2000,Belçika Frangı'nın yerini Euro'nun alması.
Avrupa,Belçika,Siyasi Kriz ve Hükümetsiz Dönem,Devrim/Rejim Değişikliği,2010,2010,2011,2010,541 gün süren hükümetsizlik rekoru ve bölünme tartışmaları.
Avrupa,Belçika,Brüksel Terör Saldırıları,Terör Saldırısı,2016,2016,2016,2010,Havalimanı ve metro istasyonuna IŞİD tarafından düzenlenen eş zamanlı saldırılar.
Avrupa,Belçika,Kral II. Albert'in Feragatı,Devrim/Rejim Değişikliği,2013,2013,2013,2010,Kralın sağlık nedenleriyle yerini oğlu Philippe'e bırakması.
Avrupa,Belçika,Nükleer Santralleri Kapatma Kararı,Devrim/Rejim Değişikliği,2003,2003,2025,2000,Enerji politikası üzerine uzun süren tartışmalar ve ertelemeler.
Avrupa,Belçika,Salah Abdeslam'ın Yakalanması,Terör Saldırısı,2016,2016,2016,2010,Paris saldırıları şüphelisinin Brüksel'de yakalanması.
Avrupa,Belçika,COVID-19 Salgını Etkisi,Kültür & Toplum,2020,2020,2021,2020,Yüksek ölüm oranları ve sağlık sisteminin zorlanması.
Avrupa,Belçika,İran ile Mahkum Takası,Devrim/Rejim Değişikliği,2023,2023,2023,2020,İnsani yardım çalışanı Olivier Vandecasteele'in serbest bırakılması.
Avrupa,Belçika,Uyuşturucu Şiddetiyle Mücadele,Kültür & Toplum,2022,2022,2024,2020,Anvers limanı merkezli uyuşturucu trafiği ve artan sokak şiddeti.
